Bookstore,Location,City,Phone
Daily Planet,"5931 Franklin Ave
Los Angeles, CA 90028
(34.105252, -118.319219)",Los Angeles,(323) 957-0061
Barnes & Noble,"7651 Carson Blvd
Long Beach, CA 90808
(33.826924, -118.083652)",Long Beach,
Word of Life Christian Book Store,"6321 West Blvd
Los Angeles, CA 90043
(33.982109, -118.335203)",Los Angeles,
Cosmopolitan Book Shop,"7017 Melrose Ave
Los Angeles, CA 90038
(34.083434, -118.343327)",Los Angeles,
Bookmart & Copy Center,"3323 Workman Mill Rd
Whittier, CA 90601
(34.022178, -118.036233)",Whittier,
Trong Dong Bookstore,"1151 E Holt Ave
Pomona, CA 91767
(34.062946, -117.727721)",Pomona,
Monterey Books & Stationery,"107 E Garvey Ave
Monterey Park, CA 91755
(34.062576, -118.122329)",Monterey Park,
"Sideshow Rare Books, Art & Curiosities","11323 Idaho Ave
Los Angeles, CA 90025
(34.045573, -118.448715)",Los Angeles,
X Spot,"5507 Hollywood Blvd
Los Angeles, CA 90028
(34.101735, -118.309694)",Los Angeles,
Siam Books Center,"5178 Hollywood Blvd
Los Angeles, CA 90027
(34.101748, -118.30281)",Los Angeles,
Sung Ji Book Center,"2837 W Olympic Boulevard
Los Angeles, CA 90006
(34.052636, -118.295535)",Los Angeles,
Stories Books & Cafe,"1716 Sunset Blvd.
Los Angeles, CA 90026
(34.077297, -118.258576)",Los Angeles,(213) 413-3733
Mystery Pier Books,"8826 W Sunset Blvd
West Hollywood, CA 90069
(34.090641, -118.383977)",West Hollywood,(310) 657-5557
Mystery Bookstore,"1036-C Broxton Ave
Los Angeles, CA 90024
(34.061834, -118.446501)",Los Angeles,(310) 209-0415
Apostrophe Books,"4712 E 2nd St
Long Beach, CA 90803
(33.761803, -118.138619)",Long Beach,
Libros Revolucion Bookstore,"312 W 8th Street
Los Angeles, CA 90014
(34.044158, -118.25533)",Los Angeles,(213) 488-1303
Thomas Bros Maps & Books,"521 W 6th St
Los Angeles, CA 90014
(34.048428, -118.254823)",Los Angeles,
Vroman’s Bookstore,"695 E Colorado Blvd
Pasadena, CA 91101
(34.145886, -118.135859)",Pasadena,(626) 449-5320
Tao Of Wellness Retail,"13315 W Washington Blvd
Los Angeles, CA 90066
(33.993089, -118.442509)",Los Angeles,
Getty Center,"1200 Getty Center Dr #500
Los Angeles, CA 90049
(34.077826, -118.475861)",Los Angeles,(310) 440-7365
Chevalier's Books,"126 N Larchmont Blvd
Los Angeles, CA 90004
(34.074126, -118.323636)",Los Angeles,(323) 465-1334
Mak Center Bookstore,"835 N Kings Rd
West Hollywood, CA 90069
(34.086409, -118.371733)",West Hollywood,(323) 651-1510
Robertson Magazine & Books,"1414 S Robertson Blvd
Los Angeles, CA 90035
(34.054155, -118.383792)",Los Angeles,(310) 858-1804
EFC Communication Center & Bookstore,"9386 Telstar Ave
El Monte, CA 91731
(34.068822, -118.064667)",El Monte,
Small World Books,"1407 Ocean Front Walk
Los Angeles, CA 90291
(33.987786, -118.47443)",Los Angeles,(310) 399-2360
Magic Door BookstoreIV,"155 W 2nd St
Pomona, CA 91766
(34.057827, -117.750821)",Pomona,
Berkelouw Book Dealer,"830 N Highland Ave
Los Angeles, CA 90038
(34.085856, -118.338595)",Los Angeles,
Above the Fold-Fairfax,"226 N Larchmont Blvd
Los Angeles, CA 90004
(34.07537, -118.32364)",Los Angeles,
LEADAPRON,"505 N Robertson Boulevard.
Los Angeles, CA 90048
(34.080427, -118.385307)",Los Angeles,
F Art,"2120 Colorado Blvd
Los Angeles, CA 90041
(34.13908, -118.212642)",Los Angeles,
Under the Table,"3139 Glendale Blvd
Los Angeles, CA 90039
(34.116567, -118.262463)",Los Angeles,
Mi Vida,"5159 York Blvd
Los Angeles, CA 90042
(34.12065, -118.202594)",Los Angeles,
Barnes & Noble,"13400 Maxella Ave
Marina Del Rey, CA 90292
(33.987209, -118.440278)",Marina Del Rey,(310) 306-3213
Half Off Books,"6708 Greenleaf Ave
Whittier, CA 90601
(33.980565, -118.037368)",Whittier,
Barnes & Noble,"17490 Colima Rd
Rowland Heights, CA 91748
(33.990468, -117.924822)",Rowland Heights,(626) 854-1833
Barnes & Noble,"6301 W 3rd St
Los Angeles, CA 90036
(34.071291, -118.359784)",Los Angeles,
Covenant Corner,"17045 Bellflower Blvd
Bellflower, CA 90706
(33.879234, -118.125221)",Bellflower,
Mrs. Nelson's Toy & Bookshop,"1030 Bonita Ave
La Verne, CA 91750
(34.106484, -117.788607)",La Verne,(909) 599-4558
Malaika Book Store Inc.,"2334 S Atlantic Blvd
Monterey Park, CA 91754
(34.036677, -118.147623)",Monterey Park,
Alabadle Christian Store,"505 E 4th St
Long Beach, CA 90802
(33.771712, -118.186084)",Long Beach,
Golden Apple Comics,"7018 Melrose Ave
Los Angeles, CA 90038
(34.083435, -118.343395)",Los Angeles,(323) 658-6047
Ketab Corp,"14666 Titus St Ste 19
Panorama City, CA 91402
(34.219741, -118.452993)",Panorama City,
American Society of Cinematographers,"1782 N Orange Dr
Los Angeles, CA 90028
(34.103843, -118.341765)",Los Angeles,(323) 969-4333
Solomon's David Book Store,"9225 W Pico Boulevard
Los Angeles, CA 90035
(34.055257, -118.39218)",Los Angeles,
LA Books CO,"153 E Garvey Ave
Monterey Park, CA 91755
(34.062576, -118.121435)",Monterey Park,
Whole Lifetimes,"6464 W Sunset Blvd
Los Angeles, CA 90028
(34.097983, -118.331321)",Los Angeles,
Solomon's Hebrew & English Book Store,"447 N Fairfax Avenue
Los Angeles, CA 90036
(34.079487, -118.361453)",Los Angeles,
Leadership Thru Books,"2662 E Florence Ave
Huntington Park, CA 90255
(33.974026, -118.223291)",Huntington Park,
Dollar Book Fair,"1711 Montebello Town Ctr
Montebello, CA 90640
(34.03652, -118.081065)",Montebello,
Barnes & Noble,"7651 Carson Blvd
Long Beach, CA 90808
(33.826924, -118.083652)",Long Beach,(562) 938-8330
Seojong Bookstore,"3250 W Olympic Boulevard
Los Angeles, CA 90006
(34.052638, -118.307787)",Los Angeles,
Shin Hwa Book Store,"714 N Broadway
Los Angeles, CA 90012
(34.060902, -118.239035)",Los Angeles,
La Canada Books & Toys,"653 Foothill Blvd Ste A
La Ca&ntilde;ada Flintridge, CA 91011
(34.201376, -118.193382)",La Cañada Flintridge,
Libreria San Miguel,"12007 Paramount Boulevard
Downey, CA 90242
(33.933278, -118.144947)",Downey,
Children's Book World,"10580 W Pico Blvd
Los Angeles, CA 90064
(34.043763, -118.42148)",Los Angeles,(310) 559-2665
Reserve,"420 N Fairfax Ave
Los Angeles, CA 90036
(34.078829, -118.361451)",Los Angeles,
Nippon Book,"327 E 2nd St
Los Angeles, CA 90012
(34.048984, -118.241207)",Los Angeles,
Planet Books,"3917 E Anaheim St
Long Beach, CA 90804
(33.782589, -118.146551)",Long Beach,
West Angeles Christian Emporium,"3021 Crenshaw Boulevard
Los Angeles, CA 90016
(34.027279, -118.335095)",Los Angeles,
Opamp Technical Books,"1033 N Sycamore Ave
Los Angeles, CA 90038
(34.089884, -118.342788)",Los Angeles,(323) 464-4322
Libreria Cristiana Un Faro De Luz,"10070 Rosecrans Ave
Bellflower, CA 90706
(33.902007, -118.118369)",Bellflower,
Book Soup,"8818 W Sunset Blvd
West Hollywood, CA 90069
(34.090653, -118.383709)",West Hollywood,
Ministerio Refugio Del Senor,"2800 N Main Street
Los Angeles, CA 90031
(34.066007, -118.212632)",Los Angeles,
Regan-regan Company-regan Books-regan Media,"10100 Santa Monica Blvd Ste 1050
Los Angeles, CA 90067
(34.062025, -118.417001)",Los Angeles,
Pathfinder Bookstore,"4229 S Central Ave
Los Angeles, CA 90011
(34.007019, -118.256498)",Los Angeles,
Fount Books,"3003 W Olympic Blvd Ste 105
Los Angeles, CA 90006
(34.052625, -118.300538)",Los Angeles,
Libreria Christiana Genesis 12 2,"1233 S Western Avenue
Los Angeles, CA 90006
(34.048278, -118.309047)",Los Angeles,
Tuff Sissy,"7365 Melrose Ave
Los Angeles, CA 90046
(34.083563, -118.350109)",Los Angeles,
Alexandria II Bookstore,"170 S Lake Ave
Pasadena, CA 91101
(34.142895, -118.13226)",Pasadena,
Hammer bookstore,"10899 Wilshire Blvd
Los Angeles, CA 90024
(34.058728, -118.443894)",Los Angeles,(310) 443-7000
Book Rack,"204 S First Ave
Arcadia, CA 91006
(34.137704, -118.028309)",Arcadia,
Academic Learning Co,"9682 Telstar Ave Ste 110
El Monte, CA 91731
(34.071147, -118.057114)",El Monte,
Nature Watch,"5312 Derry Ave Ste R
Agoura Hills, CA 91301
(34.145134, -118.748766)",Agoura Hills,
USC Bookstore,"840 Childs Way #401
Los Angeles, CA 90089
(34.020746, -118.28621)",Los Angeles,(213) 740-9254
Mitchells Bookshop,"28914 Roadside Dr
Agoura Hills, CA 91301
(34.14482, -118.754626)",Agoura Hills,
Family Christian Store 452,"8401 Pioneer Blvd
Whittier, CA 90606
(33.968458, -118.081625)",Whittier,
Samuel French,"7623 Sunset Blvd
Los Angeles, CA 90046
(34.098049, -118.355785)",Los Angeles,(323) 876-0570
Serenity Calling,"28914 Roadside Dr
Agoura Hills, CA 91301
(34.14482, -118.754626)",Agoura Hills,
Sierra Madre Books,"52 W Sierra Madre Blvd
Sierra Madre, CA 91024
(34.1619, -118.053952)",Sierra Madre,
28th Church of Christ Bookstore,"1125 Glendon Ave
Los Angeles, CA 90024
(34.060501, -118.444127)",Los Angeles,(310) 208-3814
B Dalton Bookseller,"1233 W Rancho Vista Blvd
Palmdale, CA 93551
(34.60188, -118.152092)",Palmdale,
Hongwanji Place,"261 S San Pedro St
Los Angeles, CA 90012
(34.047701, -118.242321)",Los Angeles,
Bronco Bookstore,"3801 W Temple Ave
Pomona, CA 91768
(34.050558, -117.820632)",Pomona,
Huntley Bookstore,"175 E 8th St
Claremont, CA 91711
(34.101657, -117.713568)",Claremont,
Once Read Books,"5422 E Village Rd
Long Beach, CA 90808
(33.833415, -118.126454)",Long Beach,
Barnes & Noble,"1315 W Gladstone St
Glendora, CA 91702
(34.113923, -117.831436)",Glendora,(909) 592-2873
Critters,"2277 Honolulu Ave
Montrose, CA 91020
(34.205382, -118.227431)",Montrose,
Alteryears For the Costumer,"8960 Huntington Dr
San Gabriel, CA 91775
(34.130177, -118.074405)",San Gabriel,
Libreria Hispanoamerica,"2120 W 7th St
Los Angeles, CA 90057
(34.056793, -118.277554)",Los Angeles,
Chabad on Fairfax/Atara's Judaica,"369 N Fairfax Ave #1
Los Angeles, CA 90036
(34.077744, -118.361445)",Los Angeles,(323) 655-3050
Marymount College Bookstore,"30800 Palos Verdes Drive E
Rancho Palos Verdes, CA 90275
(33.735688, -118.334003)",Rancho Palos Verdes,
Textbook Max,"2139 N Bellflower Blvd
Long Beach, CA 90815
(33.795199, -118.125415)",Long Beach,
Textmania,"2227 S Atlantic Blvd
Monterey Park, CA 90022
(34.038205, -118.14532)",Monterey Park,
Sam Johnson Bookshop,"12310 Venice Blvd
Los Angeles, CA 90066
(34.004075, -118.432627)",Los Angeles,(310) 391-5047
Blue Chair Children's Books,"177 N Glendora Ave
Glendora, CA 91741
(34.137983, -117.865463)",Glendora,
A Different Light,"8853 Santa Monica Blvd
West Hollywood, CA 90069
(34.085422, -118.38339)",West Hollywood,(310) 854-6601
Gospel Book & Church Supplies,"11748 Artesia Blvd
Artesia, CA 90701
(33.872964, -118.083138)",Artesia,
Gily Bookstore,"140 W Valley Blvd
San Gabriel, CA 91776
(34.079611, -118.101232)",San Gabriel,
Life Plaza,"250 W Valley Blvd
San Gabriel, CA 91776
(34.079549, -118.103425)",San Gabriel,
Dollar Book Fair,"238 Stonewood St
Downey, CA 90241
(33.937884, -118.121386)",Downey,
Guadalupe Articulos Religiosos,"10064 Mills Ave
Whittier, CA 90604
(33.942133, -118.029235)",Whittier,
Song In USA,"2865 W 7th St
Los Angeles, CA 90005
(34.059789, -118.286112)",Los Angeles,
Libreria Azteca,"1421 W Adams Blvd
Los Angeles, CA 90007
(34.032748, -118.292248)",Los Angeles,(323) 733-4040
Joy Books,"3170 W Olympic Blvd
Los Angeles, CA 90006
(34.052596, -118.305546)",Los Angeles,(323) 766-8793
Jung in LA Bookstore,"10349 W Pico Blvd
Los Angeles, CA 90064
(34.04724, -118.415436)",Los Angeles,(310) 556-1193
Barnes & Noble,"960 Lakes Dr
Los Angeles, CA 91790
(34.070648, -117.924117)",Los Angeles,
Thank You,"5011 York Blvd
Los Angeles, CA 90042
(34.121373, -118.206415)",Los Angeles,
Express Yourself Books,"1425 W Manchester Ave Ste C
Los Angeles, CA 90047
(33.960004, -118.301376)",Los Angeles,
Smiley's Books,"20220 Avalon Blvd #A
Carson, CA 90746
(33.848618, -118.264782)",Carson,310-324-8444
Smart Card,"3580 Wilshire Boulevard
Los Angeles, CA 90010
(34.061732, -118.302824)",Los Angeles,
Hollywood Book and Poster,"6562 Hollywood Blvd
Hollywood, CA 90028
(34.101581, -118.332778)",Hollywood,(323) 465-8764
University of Philosophical Research,"3910 Los Feliz Blvd
Los Angeles, CA 90027
(34.113578, -118.277585)",Los Angeles,
Brand Bookshop,"231 N Brand Blvd
Glendale, CA 91203
(34.148626, -118.255095)",Glendale,
Flintridge Bookstore and Coffeehouse,"964 Foothill Blvd
La Ca&ntilde;ada Flintridge, CA 91011
(34.20418, -118.199755)",La Cañada Flintridge,(818) 790-0717
Textbook Plus,"927 Westwood Blvd.
Los Angeles, CA 90024
(34.063379, -118.445421)",Los Angeles,
Barnes & Noble,"16461 Ventura Blvd
Encino, CA 91436
(34.157532, -118.492016)",Encino,
ArtBook,"7174 W Sunset Blvd
Los Angeles, CA 90046
(34.097982, -118.346424)",Los Angeles,(323) 969-8985
Electronic Graphics & Publishing,"1925 McKinley Ave Ste A
La Verne, CA 91750
(34.087042, -117.778457)",La Verne,
Barnes & Noble,"4735 Commons Way
Calabasas, CA 91302
(34.15344, -118.645454)",Calabasas,(818) 222-0542
Dokya,"5321 Hollywood Blvd
Los Angeles, CA 90027
(34.101741, -118.305942)",Los Angeles,
Larry Edmunds Cinema and Theatre Bookshop,"6644 Hollywood Blvd
Los Angeles, CA 90028
(34.10157, -118.334625)",Los Angeles,
Aldine Books,"669 N Heliotrope Dr
Los Angeles, CA 90029
(34.083146, -118.295312)",Los Angeles,
Opes Inc,"1543 W Olympic Blvd
Los Angeles, CA 90015
(34.048983, -118.273727)",Los Angeles,
Barnes & Noble,"1800 Rosecrans Ave
Manhattan Beach, CA 90266
(33.901802, -118.379588)",Manhattan Beach,(310) 725-7025
Traveler's Bookcase,"8375 W. 3rd St
Los Angeles, CA 90048
(34.072934, -118.372515)",Los Angeles,(323) 655-0575
Galifany Used Books,"44236 10th St W
Lancaster, CA 93534
(34.686507, -118.147982)",Lancaster,
Shojikiya,"707 E 4th Pl Ste B
Los Angeles, CA 90013
(34.04528, -118.237592)",Los Angeles,
Getty Villa Museum Store,"17985 Pacific Coast Hwy
Los Angeles, CA 90272
(34.041727, -118.567011)",Los Angeles,
First Nacionwide Inc,"100 N Barranca St
West Covina, CA 91791
(34.073089, -117.881178)",West Covina,
Dorothy Robinson Cutie Bookie,"10304 S Figueroa St
Los Angeles, CA 90003
(33.942681, -118.282613)",Los Angeles,
Duranno,"616 S Westmoreland Ave
Los Angeles, CA 90005
(34.062516, -118.288406)",Los Angeles,(213) 382-5400
Pan American Publishing Company,"4362 Melrose Avenue
Los Angeles, CA 90029
(34.083574, -118.295887)",Los Angeles,
Da Chan Video & Books Store,"247 E Garvey Ave
Monterey Park, CA 91755
(34.062582, -118.119694)",Monterey Park,
TextBook One,"860 N Vermont Ave
Los Angeles, CA 90029
(34.087077, -118.291727)",Los Angeles,
Bookhouse,"1026 Fair Oaks Ave
South Pasadena, CA 91030
(34.114191, -118.150367)",South Pasadena,
CSULB Bookstore,"6049 E 7th St
Long Beach, CA 90840
(33.775353, -118.114331)",Long Beach,
PCC Viking Campus Store,"1305 E Pacific Coast Hwy
Long Beach, CA 90806
(33.78985, -118.174149)",Long Beach,
Golden Apple Comics,"7711 Melrose Ave
Los Angeles, CA 90046
(34.083734, -118.357844)",Los Angeles,
Storyopolis,"116 N Robertson Blvd Ste A
Los Angeles, CA 90048
(34.075845, -118.383735)",Los Angeles,
Jump Q Educational Books,"170 S Western Ave
Los Angeles, CA 90004
(34.071775, -118.309132)",Los Angeles,
Golden Apple Comics,"8967 Reseda Blvd.
Los Angeles, CA 91324
(34.233467, -118.536089)",Los Angeles,(818) 993-7804 / (888) 235-2400
Cromwell Books,"1045 N La Brea Ave
Inglewood, CA 90302
(33.977194, -118.357621)",Inglewood,
Book Rack,"1405 Foothill Blvd
La Verne, CA 91750
(34.117221, -117.776559)",La Verne,
Latino Semanal,"1636 W 8th Street
Los Angeles, CA 90017
(34.052711, -118.273046)",Los Angeles,
Fashion Bookstore,"110 E 9th St
Los Angeles, CA 90079
(34.041556, -118.254901)",Los Angeles,(213) 622-5663
Barnes & Noble,"210 Americana Way
Glendale, CA 91210
(34.143552, -118.256115)",Glendale,(818) 545-9146
Barnes & Noble,"39228 10th St W
Palmdale, CA 93551
(34.596037, -118.14754)",Palmdale,(661) 272-9958
Family Christian Stores,"25075 Peachland Ave
Newhall, CA 91321
(34.378684, -118.546898)",Newhall,
Ketabsara Persian,"1441 Westwood Blvd
Los Angeles, CA 90024
(34.054586, -118.441145)",Los Angeles,(310) 477-4700
Aladdin Used Books,"621 S Western Ave
Los Angeles, CA 90005
(34.062743, -118.309093)",Los Angeles,
Anime Books Dot Com,"988 N Hill St
Los Angeles, CA 90012
(34.066576, -118.237637)",Los Angeles,
Anime Jungle,"319 E 2nd St #103
Los Angeles, CA 90012
(34.048944, -118.241156)",Los Angeles,(213) 621-1661
Vedanta Bookshop,"1946 Vedanta Pl
Los Angeles, CA 90068
(34.106685, -118.327825)",Los Angeles,
Dehkhoda Persian Book Store,"1387 Westwood Blvd
Los Angeles, CA 90024
(34.055484, -118.44186)",Los Angeles,
Evergreen Company,"18321 Pioneer Blvd
Artesia, CA 90701
(33.865134, -118.082204)",Artesia,
Ketab ,"1419 Westwood Boulevard
Los Angeles, CA 90024
(34.054882, -118.4414)",Los Angeles,(310) 477-7477
"Hennessey & Ingalls, Inc","214 Wilshire Blvd
Santa Monica, CA 90401
(34.017896, -118.499815)",Santa Monica,(310) 458-9074
New Mastodon German,"5820 Wilshire Blvd
Los Angeles, CA 90036
(34.062398, -118.355753)",Los Angeles,(323) 525-1948
Libreria Del Valle,"8436 van nuys blvd
Los Angeles, CA 91402
(34.224118, -118.448698)",Los Angeles,
Family,"436 N Fairfax Ave
Los Angeles, CA 90036
(34.079257, -118.361452)",Los Angeles,(323) 782-9221
Giant Robot,"2015 Sawtelle Blvd
Los Angeles, CA 90025
(34.040471, -118.443222)",Los Angeles,(310) 478-1819
Pepperdine West LA Bookstore,"6100 Center Dr #103
Los Angeles, CA 90045
(33.977509, -118.392113)",Los Angeles,(310) 568-5741
Original Books,"5725 Mistridge Drive
Rancho Palos Verdes, CA 90275
(33.767512, -118.377607)",Rancho Palos Verdes,
Book Show,"1993 Blake Ave
Los Angeles, CA 90039
(34.101032, -118.24413)",Los Angeles,
Word of Life Press Books,"2717 W Olympic Boulevard
Los Angeles, CA 90006
(34.052652, -118.292366)",Los Angeles,
X Spot 2,"1901 S Alameda St
Los Angeles, CA 90058
(34.019022, -118.239594)",Los Angeles,
Bucks 4 Books,"1818 Palo Verde Ave
Long Beach, CA 90815
(33.789166, -118.107956)",Long Beach,
Barnes & Noble,"21500 Hawthorne Blvd
Torrance, CA 90278
(33.831691, -118.352533)",Torrance,(310) 370-5552
Lemstone Christian Bookstore,"28130 Newhall Ranch Rd
Valencia, CA 91355
(34.440393, -118.570362)",Valencia,
Building News Bookstore,"10801 National Blvd
Los Angeles, CA 90064
(34.031033, -118.420182)",Los Angeles,
Discos Y Libros,"15702 Pioneer Blvd
Norwalk, CA 90650
(33.888688, -118.082439)",Norwalk,
Alleluia Christian Center,"603 N New Ave
Monterey Park, CA 91755
(34.069236, -118.108155)",Monterey Park,
Nahui Olin,"1511 W Sunset Blvd
Los Angeles, CA 90026
(34.076, -118.255603)",Los Angeles,(213) 909-5406
Joongang Book Mart,"3500 W. 6th St.
Los Angeles, CA 90020
(34.063581, -118.298568)",Los Angeles,
Vroman's Hastings Ranch,"3729 East Foothill Blvd
Pasadena, CA 91107
(34.150286, -118.072194)",Pasadena,(626) 351-0828
Ng Hing Kee Of L A,"1942 Rosemead Blvd
El Monte, CA 91733
(34.051428, -118.064209)",El Monte,
Iskcon Boks A Dv of Intrntl Scty Fr Krshna Cnscsns,"3748 Watseka Ave
Los Angeles, CA 90034
(34.025413, -118.397671)",Los Angeles,
Pop-Hop,"5002 York Blvd
Los Angeles, CA 90042
(34.121453, -118.206793)",Los Angeles,(323) 259-2490
Christian Science Reading Room,"3280 Motor Avenue
Los Angeles, CA 90034
(34.029545, -118.410945)",Los Angeles,
Mind & Body Books,"206 W Bonita Ave
Claremont, CA 91711
(34.096655, -117.716263)",Claremont,
Libreria Cristiana Ebenezer,"6115 Pacific Boulevard
Huntington Park, CA 90255
(33.984868, -118.225292)",Huntington Park,
Owl Book Shops,"38 E Montecito Ave
Sierra Madre, CA 91024
(34.163126, -118.051806)",Sierra Madre,
Welch Foundation,"625 E Arrow Hwy Ste 1
Glendora, CA 91740
(34.106747, -117.852081)",Glendora,
Little Flower Religious Gifts & Books,"500 S Atlantic Blvd
Monterey Park, CA 91754
(34.056449, -118.134727)",Monterey Park,
Cal State LA Bookstore,"5155 State University Dr
Los Angeles, CA 90032
(34.062333, -118.17155)",Los Angeles,(323) 343-2500
Eric Chaim Kline Bookseller,"14650 Parthenia St
Panorama City, CA 91402
(34.227883, -118.451962)",Panorama City,
A Castle of Books,"4302 Atlantic Ave
Long Beach, CA 90807
(33.834368, -118.18495)",Long Beach,
Ooga Booga,"943 N Broadway
Los Angeles, CA 90012
(34.065059, -118.236959)",Los Angeles,
Houle Rare Books,"7260 Beverly Blvd
Los Angeles, CA 90036
(34.07615, -118.34793)",Los Angeles,(323) 937-5858
Last Bookstore,"453 S Spring St
Los Angeles, CA 90013
(34.047602, -118.249423)",Los Angeles,(213) 488-0599
Espacio 1839,"1839 1st St
Los Angeles, CA 90033
(34.047042, -118.218531)",Los Angeles,
T B S,"1680 Vine Street
Los Angeles, CA 90028
(34.101278, -118.326685)",Los Angeles,
Gethesemani Libreria Catolica,"2160 S Atlantic Boulevard
Los Angeles, CA 90040
(34.006823, -118.162095)",Los Angeles,
Child Evangelism Long,"16815 Bellflower Blvd
Bellflower, CA 90706
(33.881631, -118.125256)",Bellflower,
Libreria John 3:16,"5314 N Figueroa St
Los Angeles, CA 90042
(34.107087, -118.197876)",Los Angeles,(323) 302-5697
Dana K Text Books,"25870 McBean Pkwy
Santa Clarita, CA 91355
(34.402342, -118.551402)",Santa Clarita,
Word of Life Bookstore,"2707 W Olympic Blvd
Los Angeles, CA 90006
(34.052649, -118.292201)",Los Angeles,(213) 382-4538
Skylight Books,"1818 N Vermont Ave
Los Angeles, CA 90027
(34.104384, -118.29178)",Los Angeles,(323) 660-1175
Portrait of a Bookstore,"4360 Tujunga Ave
Los Angeles, CA 91604
(34.149517, -118.378991)",Los Angeles,(818) 769-3853
Snack-Tastic,"555 W 5th St
Los Angeles, CA 90013
(34.049592, -118.252943)",Los Angeles,
Korean Book Center,"3150 W Olympic Blvd
Los Angeles, CA 90006
(34.052602, -118.304692)",Los Angeles,
Libreria Mexico De Echo Park,"1632 W Sunset Boulevard
Los Angeles, CA 90026
(34.076921, -118.257715)",Los Angeles,
Taschen,"6333 W 3rd St
Los Angeles, CA 90036
(34.071338, -118.360102)",Los Angeles,(323) 931-1168
Magmall Com,"5455 Wilshire Boulevard
Los Angeles, CA 90036
(34.062364, -118.347698)",Los Angeles,
Crown Books  ,"6100 Topanga Canyon Blvd #1340
Woodland Hills, CA 91367
(34.181113, -118.605803)",Woodland Hills,
Kovcheg Russian,"7508 Sunset Blvd
Los Angeles, CA 90046
(34.09803, -118.353063)",Los Angeles,(323) 876-2749
V W Culture Co,"18850 Norwalk Blvd
Artesia, CA 90701
(33.86049, -118.072346)",Artesia,
Alpha & Omega Libreria,"807 Euclid Ave
Los Angeles, CA 90023
(34.03126, -118.20697)",Los Angeles,(323) 268-2919
Easy Does It Books & Gifts,"3517 E Broadway
Long Beach, CA 90803
(33.764446, -118.15081)",Long Beach,
Friends of the Crowell Public Library & Book Shoppe,"1890 Huntington Drive
San Marino, CA 91108
(34.119178, -118.113045)",San Marino,
Dollar Dollar Bargain,"3361 S Hoover Street
Los Angeles, CA 90007
(34.025266, -118.283919)",Los Angeles,
Asahiya Express,"2130 Sawtelle Blvd
Los Angeles, CA 90025
(34.038923, -118.441884)",Los Angeles,
Dawah Books,"4801 Crenshaw Blvd
Los Angeles, CA 90043
(33.999309, -118.330996)",Los Angeles,(323) 299-0335
Tia Chucha's Centro Cultural & Bookstore,"13197-A Gladstone Avenue
Los Angeles, CA 91342
(34.310456, -118.42777)",Los Angeles,818-528-4511
Libreria Cristiana Sinai,"478 S San Antonio Ave
Pomona, CA 91766
(34.055398, -117.73694)",Pomona,
Book Castle the,"24787 Valley St
Newhall, CA 91321
(34.379388, -118.540683)",Newhall,
Books N More,"855 N Vermont Ave
Los Angeles, CA 90029
(34.086955, -118.291727)",Los Angeles,
Iliad Book Shop,"5400 Cahuenga Blvd
North Hollywood, CA 91601
(34.168505, -118.361551)",North Hollywood,
