Performing Artist,Presenting Organization,Concert Date,Start Time,End Time,Concert Location,Location,Contact Name,Contact Number,Supervisor District,Year
Yari Moré Latin Band ,Los Angeles County Department of Parks and Recreation - Whittier Narrows Recreation Area,07/15/2016,7:00 PM,9:00 PM,Whittier Narrows Recreation Area,"823 Lexington Gallatin Rd
South El Monte, CA 91733
(34.035698, -118.052669)",Louie Guerrero,626-575-5526,1,2016
Dawn Norfleet,"Musicians at Play Foundation, Inc.",07/14/2016,7:30 PM,9:00 PM,Courtyard of the Alex Theater,"216 North Brand Boulevard
Glendale, CA 91203
(34.148787, -118.25496)",Cynthia Pease,818-257-0733,5,2016
De'Anza,Los Angeles County Department of Parks and Recreation,07/16/2016,6:00 PM,8:00 PM,El Cariso Community Regoinal Park,"13100 Hubbard Street
Sylmar, CA 91342
(34.319383, -118.416865)",Sandra Chapman,818-367-5043,3,2016
Invisible Poet Kings,Los Angeles County Department of Parks and Recreation - Richard Rioux Park,08/15/2016,6:00 PM,8:00 PM,Richard Rioux Memorial Park,"26233 W Faulkner Dr
Stevenson Ranch, CA 91381
(34.389312, -118.594084)",Doug Newell,661-222-9536,5,2016
Mahadev,County of Los Angeles Public Library - Topanga Library,08/27/2016,2:00 PM,4:00 PM,Topanga Library,"122 N Topanga Canyon Blvd
Topanga, CA 90290
(34.090139, -118.604016)",Oleg Kagan,310-455-3480,3,2016
Mariachi Espectacular,Los Angeles County Department of Parks & Recreation - City Terrace Park,07/14/2016,7:00 PM,9:00 PM,City Terrace Park,"1126 N Hazard Ave
Los Angeles, CA 90063
(34.049492, -118.179367)",Alice Gonzales,323-260-2371,1,2016
Jumpin' Joz Band ,City of Norwalk Senior Center,08/20/2016,1:00 PM,4:00 PM,Norwalk Senior Center,"14040 San Antonio Dr
Norwalk, CA 90650
(33.903948, -118.080622)",Daniel Abrego,562-929-5666,4,2016
Lisa Haley & the Zydekats,Temple City Library,08/13/2016,11:00 AM,12:00 PM,Temple City Library,"5939 Golden West Avenue
Temple City, CA 91780
(34.108541, -118.056822)",Rama Shah,626-285-2136,5,2016
Mariachi Espectacular,Los Angeles County Department of Parks and Recreation,07/19/2016,6:00 PM,8:30 PM,Mayberry Park,"13201 E Meyer Rd
Whittier, CA 91744
(33.92914, -118.051187)",Marisela Mena,562-944-9727,4,2016
De'Anza ,Moonlight Fishing,09/30/2016,7:00 PM,10:00 PM,Santa Fe Dam Recreation Area,"15501 E Arrow Hwy
Irwindale, CA 91706
(34.107132, -117.943796)",Shelia Burns,626-334-1065,1,2016
Mariachi Divas,City of Montebello,07/21/2016,6:30 PM,8:30 PM,Montebello City Park Bandshell,"1600 W Beverly Blvd
Montebello, CA 90640
(34.019484, -118.116599)",Janine Andrade,323-887-4556,1,2016
Jumpin' Joz Band ,Los Angeles County Department of Parks and Recreation,09/15/2016,6:00 PM,8:00 PM,Steinmetz Park,"1545 S Stimson Ave
Hacienda Heights, CA 91745
(34.002117, -117.96009)",MargaretTrujillo,626-934-7041,4,2016
Cuicani,Bell Library,08/13/2016,2:00 PM,3:00 PM,Bell Library,"4411 Gage Ave
Bell, CA 90201
(33.97818, -118.1885)",Diane Zaher,323-560-2149,1,2016
Sgt. Pepper,City of Norwalk,07/20/2016,7:00 PM,9:00 PM,City of Norwalk Civic Center Lawn,"12700 Norwalk Blvd
Norwalk, CA 90650
(33.915595, -118.072508)",Blanche Grove,562-929-5519,4,2016
Gloria Arjona,County of Los Angeles Public Library - Avalon Library,09/17/2016,11:00 AM,12:00 PM,Avalon Library,"215 Sumner Ave
Avalon, CA 90704
(33.342826, -118.326975)",Tiffany Chow,310-510-1050,4,2016
Trio America Music,Rosemead Library,09/24/2016,2:00 PM,3:00 PM,Rosemead Library,"8800 Valley Blvd
Rosemead, CA 91770
(34.080694, -118.077092)",Steve Smith,626-573-5222,1,2016
Jelly of the Month Club ,"City of Gardena Recreation, Human Services, Parks and Facilities",10/01/2016,12:00 PM,3:00 PM,Nakaoka Community Center,"1670 West 162nd Street
Gardena, CA 90247
(33.883775, -118.306315)",Evette Wedlow-Benjamin,310-217-6175,2,2016
El-Haru Kuroi,"El Sereno Community Arts, a project of Community Partners",10/22/2016,2:00 PM,9:00 PM,Huntington Drive- one city block,"1000 N Alameda Street
Los Angeles, CA 90032
(34.059533, -118.23675)",Angie De La Torre,323-304-1232,1,2016
Susie Hansen Latin Band,City of Pico Rivera,08/05/2016,7:00 PM,9:00 PM,Smith Park,"9200 Mines Avenue
Pico Rivera, CA 90660
(33.990129, -118.08643)",Efrain Lee,562-755-0470,1,2016
Cuicani,Glendale Arts,09/17/2016,8:00 PM,9:00 PM,Glendale Central Park,"230 South Brand Blvd
Glendale, CA 91204
(34.143312, -118.254933)",Jess Castillo,818-243-2611,5,2016
Marisa Ronstadt & The Know-It-Alls,"West Covina Community Services Foundation, Inc.",07/21/2016,6:00 PM,9:00 PM,West Covina Civic Center,"1444 West Garvey Avenue South
West Covina, CA 91790
(34.072144, -117.938853)",Nikole Bresciani,626-939-8456,1,2016
Cuñao,"City of South Gate, Parks & Recreation Department",07/08/2016,6:00 PM,8:00 PM,South Gate Park,"4900 Southern Ave
South Gate, CA 90280
(33.947235, -118.182894)",Armando Ayala,323-357-9636,1,2016
Mariachi Divas,City of Paramount,07/14/2016,6:30 PM,8:30 PM,Paramount Park,"14400 Paramount Blvd
Paramount, CA 90723
(33.902283, -118.16008)",Steven Coumparoules,562-220-2126,4,2016
Susie Hansen Latin Band,"City of South Pasadena, Community Services Department ",08/07/2016,5:00 PM,7:00 PM,Garfield Park,"1000 Park Avenue
South Pasadena, CA 91030
(34.115106, -118.147869)",Anthony Kim,626-403-7382,5,2016
Yari Moré Latin Band ,City of Baldwin Park,07/07/2016,7:00 PM,9:00 PM,Cesar E. Chavez Amphitheater (Morgan Park),"4100 Baldwin Park Blvd
Baldwin Park 91706
(34.08636, -117.964747)",April Nava,626-813-5245,1,2016
Yari Moré Latin Band ,Lummis Day Community Foundation,06/05/2016,12:30 PM,7:00 PM,Sycamore Grove Park,"1109 Oneonta Drive
Los Angeles, CA 90065
(34.116458, -118.216135)",Jain Sekuler,323-646-8331,1,2016
City of Angels Saxophone Quartet,County of Los Angeles Public Library - Agoura Hills Library,09/17/2016,2:00 PM,3:00 PM,Agoura Hills Library,"29901 Ladyface Court
Agoura Hills, CA 91301
(34.143871, -118.775792)",Nina Hull,818-889-2278,3,2016
Mariachi Divas,City of Inglewood,09/17/2016,2:00 PM,4:00 PM,Crozier Middle School,"120 W Regent Street
Inglewood, CA 90301
(33.964416, -118.355631)",Teresa Estrada,310-412-5396,2,2016
Zetz Klezmer Ensemble,City of West Hollywood,08/07/2016,4:00 PM,5:15 PM,Plummer Park,"7377 Santa Monica Blvd
West Hollywood, CA 90046
(34.09076, -118.350962)",Michael Che,323-848-6377,3,2016
Andres Flores y Los Hijos de Jose,Castaic Library,09/24/2016,2:00 PM,3:00 PM,Castaic Library,"27971 Sloan Canyon Blvd
Castaic, CA 91384
(34.495148, -118.625306)",Vickie Raymundi,661-257-7410,5,2016
Susie Hansen Latin Band,Museum Associates dba LA County Museum of Art,08/13/2016,5:00 PM,7:00 PM,Los Angeles County Museum of Art ,"5905 Wilshire Blvd
Los Angeles, CA 90036
(34.06263, -118.357831)",Claire Kim-Shin,323-857-6115,3,2016
Wildwood Highway,Los Angeles Choreographers and Dancers,09/25/2016,4:30 PM,6:30 PM,Ports O'Call,"1199 Nagoya Way
San Pedro, CA 90731
(33.731254, -118.27765)",Louise Reichlin,213-385-1171,4,2016
Brasil Brazil,East Rancho Dominguez Library,08/27/2016,1:00 PM,2:30 PM,East Rancho Dominugez Library,"4420 E Rose St
East Rancho Dominguez, CA 90221
(33.894251, -118.193644)",Camille Ray,310-632-9664,2,2016
