Title,Artist Name,Location Name,County Department,Year Created,Location Street,Artwork Type,Technique,Media & Support,Supervisor District,Dimensions,Accession Number
Mexican Tree of Life,Barbara Beall,Los Nietos Library and Service Center,Public Library,1979,"11644 East Slauson Avenue
Whittier 90606
(33.964577, -118.06758)",Mural,Tiling,Ceramic,1,10 ft.x 12 ft.x 1 1/2 in.* (3 x 3.7 m),2011.11
Old La Verne Landscape,Frank Matranga,La Verne Library,Public Library,1985,"2809 Foothill Boulevard
La Crescenta 91214
(34.224587, -118.240654)",Mural,Tiling,Ceramic,5,,2009.47
Tree of Knowledge (aka Read),Josefina Quezada,Anthony Quinn Library,Public Library,1978,"3965 Cesar E. Chavez Avenue
Los Angeles 90063
(34.04055, -118.180177)",Mural,Mural painting,Acrylic on stucco,1,10 ft.x 40 ft.* (3 x 12.2 m),2009.4
Untitled (12 Pyramids),Linda Arreola,East Los Angeles Civic Center,Internal Services,2007,"4800 East 3rd Street
Los Angeles 90022
(34.033269, -118.160724)",Sculpture,Carving,Travertine stone,1,,2009.67.a-.l
"Tree by Tree, from Sea to Mountains (Rack Banners)",Rebeca Mendez,Registrar-Recorder/County Clerk Warehouse,Registrar-Recorder/County Clerk,2008,"12686 Corral Place
Santa Fe Springs 90670
(33.933642, -118.06288)",Banner,Printing,Vinyl,1,8 ft.x 26 ft.* (2.4 x 7.9 m),2008.11.2.a-.i
Unity Through Diversity Public and Private Work and Play,Cha-Rie Tang,Kenneth Hahn Hall of Administration,Internal Services,2009,"500 West Temple Street
Los Angeles 90012
(34.057403, -118.245522)",Mural,Glazing,Glass,1,,2009.73
Faces of the Americas,Ernesto De la Loza,Florence Library,Public Library,2010,"1610 East Florence Avenue
Los Angeles 90001
(33.97475, -118.245194)",Mural,Mural painting,Acrylic on canvas,2,8 ft.x 150 ft.* (2.4 x 45.7 m),2010.7
Conversion Ridge,Ricardo Duffy,East Los Angeles Civic Center,Internal Services,2005,"4800 East 3rd Street
Los Angeles 90022
(34.033269, -118.160724)",Sculpture,Tiling,"Ceramic, aluminum",1,144 ft.x 16 ft.x 16 ft.* (43.9 x 4.9 x 4.9 m),2009.64.2
SOMETHING HAPPENED ON THE OLD ROAD #1 (SHOTOR #1),Henk Pander,Fire Station 108,Fire,2008,"28799 Rock Canyon Drive
Santa Clarita 91380
(34.468729, -118.514066)",Painting,Painting,Winsor and Newton watercolor paints on paper,5,,2008.15.2.1
San Pedro Harbor,Barbara Leone,San Pedro Service Center,Community and Senior Services,1976,"769 West Third Street
San Pedro 90731
(33.741502, -118.293844)",Mural,Tiling,Ceramic,4,,2009.89
Angel of Vision,Eddie Rodriguez,LAC+USC General Hospital,Health Services,2001,"1200 North State Street
Los Angeles 90033
(34.06078, -118.20895)",Painting,Painting,"Fiberglass, paint",1,,2009.95
Untitled,Frank Matranga,La Canada Flintridge Library,Public Library,1971,"4545 North Oakwood Avenue
La Ca&ntilde;ada Flintridge 91011
(34.202766, -118.193617)",Mural,Tiling,Ceramic,5,10 ft.x 12 ft.* (3 x 3.7 m),2009.23
They Fly Through Water,Sonia Romero,Belvedere Community Regional Park,Parks and Recreation,2014,"4914 East Cesar Chavez Avenue
Los Angeles 90063
(34.04063, -118.158855)",Mural,Tiling,"Steel, paint, ceramic",1,,2014.7.a-.g
Sea Dream,Dakota Warren,Mona Park,Parks and Recreation,2008,"2291 East 121st Street
Compton 90222
(33.922146, -118.231582)",Mural,Tiling,"Stained cement, aluminum, glass, ceramic tiles on cinderblock wall",2,120 ft.x 8 ft.* (36.6 x 2.4 m),2008.8
Water Henge: H20 = Life,Kim Emerson,Cerritos Community Regional Park,Parks and Recreation,2009,"19700 South Bloomfield Avenue
Cerritos 90703
(33.849175, -118.063364)",Sculpture,Tiling,"Polystyrene, ceramic, gold paint on steel armature",4,,2009.70.a-.e
Untitled (Mask 9),Emile Jordan,A.C. Bilbrew Library,Public Library,circa 1985,"150 East El Segundo Boulevard
Los Angeles 90061
(33.916419, -118.272281)",Sculpture,Carving,Wood,2,,2013.14.9
Inner Resources,Paul Botello,City Terrace Park,Parks and Recreation,2000,"1126 North Hazard Avenue
Los Angeles 90063
(34.049492, -118.179367)",Mural,Mural painting,Acrylic on cement,1,36 ft.x 82 ft.* (11 x 25 m),2009.53
Untitled (Relief Sculpture 3),Emile Jordan,A.C. Bilbrew Library,Public Library,circa 1985,"150 East El Segundo Boulevard
Los Angeles 90061
(33.916419, -118.272281)",Sculpture,Carving,Wood,2,,2013.14.17
Untitled (Sculpture 5),Emile Jordan,A.C. Bilbrew Library,Public Library,circa 1985,"150 East El Segundo Boulevard
Los Angeles 90061
(33.916419, -118.272281)",Sculpture,Carving,Wood,2,,2013.14.24
Spirit of '76,Charles Freeman,Bob Hope Patriotic Hall,Military and Veterans Affairs,1992,"1816 South Figueroa Street
Los Angeles 90015
(34.035381, -118.271381)",Mural,Mural painting,Acrylic on wall,1,,2009.93
45th Fire,Jason Greene,Fire Station 93,Fire,2008,"5624 East Avenue R
Palmdale 93552
(34.57254, -118.029149)",Painting,Painting,"Oil, wood glue, wood sealer, acrylic gesso primer, varnish on birch plywood",5,,2008.13.4
Untitled (Mask 6),Emile Jordan,A.C. Bilbrew Library,Public Library,circa 1985,"150 East El Segundo Boulevard
Los Angeles 90061
(33.916419, -118.272281)",Sculpture,Carving,Wood,2,,2013.14.6
"Leaping Fish, Nature's Cycles",José Rude Calderon,East Los Angeles Civic Center,Internal Services,2004,"4800 East 3rd Street
Los Angeles 90022
(34.033269, -118.160724)",Sculpture,Carving,"Travertine stone, stainless steel, waterworks lighting",1,,2009.62.a-.b
Je N'Oublierai Pas,Louis Aime Lejeune,Los Angeles County Arboretum and Botanic Garden,Parks and Recreation,1930,"301 North Baldwin Avenue
Arcadia 91007
(34.143238, -118.050941)",Sculpture,Carving,Marble on concrete,5,7 ft. 8 in.x 4 ft. 7 in.x 2 ft. 5 in.* (2.3 x 1.4 x 0.7 m),2009.49
Untitled (Interior),Dora De Larios,Compton Library,Public Library,1973,"240 West Compton Boulevard
Compton 90220
(33.895902, -118.225479)",Mural,Tiling,Ceramic,2,8 ft.x 20 ft.* (2.4 x 6.1 m),2009.28.2.a-.c
Different Strokes,Paul Tzanetopoulos,Mary M. Bethune Park,Parks and Recreation,2009,"1244 East 61st Street
Los Angeles 90001
(33.98432, -118.253087)",Mural,Tiling,"Unglazed porcelain, glass, grout",2,6 ft.x 96 ft.* (1.8 x 29.3 m),2009.72
Free Ballot,Helen Lundeberg,Bob Hope Patriotic Hall,Military and Veterans Affairs,1942,"1816 South Figueroa Street
Los Angeles 90015
(34.035381, -118.271381)",Mural,Mural painting,Oil on canvas,1,15 ft.x 12 ft.* (4.6 x 3.7 m),2009.83.3
Untitled (Relief Sculpture 4),Emile Jordan,A.C. Bilbrew Library,Public Library,circa 1985,"150 East El Segundo Boulevard
Los Angeles 90061
(33.916419, -118.272281)",Sculpture,Carving,Wood,2,,2013.14.18
The Helmsman,Carlo Alfred Romanelli,Burton W. Chace Park,Beaches and Harbors,1931,"13650 Mindanao Way
Marina Del Rey 90292
(33.977946, -118.444032)",Sculpture,Casting,"Concrete, wood on granite",4,15 ft.x 9 ft.x 12 ft.* (4.6 x 2.7 x 3.7 m),2009.22
Aquatic Endeavors,Robin Strayhorn,Enterprise Park,Parks and Recreation,2008,"13055 Clovis Avenue
Los Angeles 90059
(33.913716, -118.256481)",Mural,Tiling,Ceramic,2,,2008.10.a-.b
Untitled,Frank Matranga,Lloyd Taber Marina Del Rey Library,Public Library,1976,"4533 Admirality Way
Marina Del Rey 90292
(33.982863, -118.44236)",Mural,Carving,Brick,4,8 ft.x 120 ft. 2 in.* (2.4 x 36.6 m),2009.35
Butterfly Effect,Merle Axelrad,Arcadia Mental Health Center,Mental Health,2015,"330 East Live Oak Avenue
Arcadia 91006
(34.10854, -118.022022)",Sculpture,Printing,"acrylic paint, fiberglass, polyester (fiber)",5,10 ft.x 16 ft.x 12 ft. 6 in.* (3 x 5 x 4 m),2015.3.1
Frontier,Anne Marie Karlsen,Acton-Agua Dulce Library,Public Library,2009,"33792 Crown Valley Road
Acton-Agua Dulce 93510
(34.494627, -118.198307)",Sculpture,Firing,Enamel on porcelain,5,,2009.80.a-.e
Azul Healing Garden,Dan Corson,"Martin Luther King, Jr. Medical Campus",Health Services,2013,"1670-1680 East 120th Street
Los Angeles 90059
(33.92427, -118.24458)",Garden,Landscaping,"Glass, mineral paint, landscape, LED lights",2,,2013.1
Butterfly Effect (Art/Science Panel),Merle Axelrad,Arcadia Mental Health Center,Mental Health,2015,"330 East Live Oak Avenue
Arcadia 91006
(34.10854, -118.022022)",Sculpture,Printing,Die cutting,5,3 ft. 6 in.x 7 ft.x 1/2 in.* (1 x 2 m),2015.3.2
Unknown,Livio Napolitani,Gardena Mayme Dear Library,Public Library,1964,"1731 West Gardena Boulevard
Gardena 90247
(33.881949, -118.307583)",Mural,Mosaic,"Ceramic, stone",2,3 ft.* (0.9 m),2009.15
Smoke,Jason Greene,Fire Station 136,Fire,2008,"3650 Bolz Ranch Road
Palmdale 93551
(34.615647, -118.194932)",Painting,Painting,"Oil, wood glue, wood sealer, acrylic gesso primer, varnish on birch plywood",5,,2008.14.3
Issuance,Evan LaGrande Wilson,La Crescenta Library,Public Library,2009,"2809 Foothill Boulevard
La Crescenta 91214
(34.224587, -118.240654)",Mural,Mural painting,Acrylic on canvas,5,,2009.77.2
Keeping Watch,Steve Farley,Fire Station 150,Fire,2012,"19190 Golden Valley Road
Santa Clarita 91350
(34.392439, -118.465709)",floor; mural,Tiling,Mural: Ceramic; Floor: Terrazzo,5,,2012.17.a-.b
"The Wall That Speaks, Sings and Shouts",Paul Botello,Ruben F. Salazar Park,Parks and Recreation,2001,"3864 Whittier Boulevard
Los Angeles 90023
(34.023918, -118.189997)",Mural,Mural painting,Acrylic on stucco,1,25 ft.x 73 ft.* (7.6 x 22.3 m),2009.56
Untitled (Mask 4),Emile Jordan,A.C. Bilbrew Library,Public Library,circa 1985,"150 East El Segundo Boulevard
Los Angeles 90061
(33.916419, -118.272281)",Sculpture,Carving,Wood,2,,2013.14.4
Wall of Hope,Michael Massenburg,Camp Kenyon J. Scudder,Probation,2009,"28750 Bouquet Canyon Road
Santa Clarita 91390
(34.460419, -118.48477)",Mural,Mural painting,Acrylic,5,,2010.2
Untitled (Mask 1),Emile Jordan,A.C. Bilbrew Library,Public Library,circa 1985,"150 East El Segundo Boulevard
Los Angeles 90061
(33.916419, -118.272281)",Sculpture,Carving,Wood,2,,2013.14.1
Untitled (Historic Map of California),Ben Mayer,Norwalk Library,Public Library,1969,"12350 Imperial Highway
Norwalk 90650
(33.917078, -118.069236)",Mural,Mosaic,Ceramic,4,19 ft. 9 in.x 10 ft.* (6 x 3 m),2009.20.1
Untitled (Pool),Michele C. Martinez,Helen Keller Park,Parks and Recreation,2008,"12521 South Vermont Avenue
Los Angeles 90044
(33.918736, -118.291833)",Mural,Tiling,Terra cotta,2,6 ft. 9 in.x 8 ft. 3 in.* (2.1 x 2.5 m),2007.1.4
Untitled (Modern Map of California),Ben Mayer,Norwalk Library,Public Library,1969,"12350 Imperial Highway
Norwalk 90650
(33.917078, -118.069236)",Mural,Mosaic,Ceramic,4,19 ft. 9 in.x 10 ft.* (6 x 3 m),2009.20.2
4 am Dragon,Jason Greene,Fire Station 93,Fire,2008,"5624 East Avenue R
Palmdale 93552
(34.57254, -118.029149)",Painting,Painting,"Oil, wood glue, wood sealer, acrylic gesso primer, varnish on birch plywood",5,,2008.13.1
Ben's Promise,Elaine Katzer,Clifton M. Brakensiek Library,Public Library,1975,"9945 East Flower Street
Bellflower 90706
(33.882103, -118.121803)",Mural,Tiling,Stoneware,4,5 ft.x 20 ft. 9 in.* (1.5 x 6.3 m),2009.32.1
Inventive Progress of Man,Tom Van Sant,Bell Library,Public Library,1960,"4411 East Gage Street
Bell 90201
(33.97818, -118.1885)",Mural,Mosaic,"Natural stone, inlaid cork",1,11 ft.x 12 ft.* (3.4 x 3.7 m),2009.11
Untitled (Awesome Bears),Philip Lumbang,LAC+USC Medical Center,Health Services,2012,"1200 North State Street
Los Angeles 90033
(34.06078, -118.20895)",Mural,Mural painting,Paint,1,,M.2012.3
San Pedro Reflections,Carlos Callejo,San Pedro Service Center,Community and Senior Services,2011,"769 West Third Street
San Pedro 90731
(33.741502, -118.293844)",Mural,Mural painting,Acrylic,4,60 ft.x 16 ft. 3 in.* (18.3 x 4.9 m),2011.1
Ofrenda Maya I,Goez Studios,City Terrace Library,Public Library,1978,"4025 East City Terrace Drive
Los Angeles 90063
(34.055694, -118.178146)",Mural,Tiling,Glazed tile,1,9 ft.x 12 ft.* (2.7 x 3.7 m),2009.43
Untitled (Buddhist Mandala),Daniel Dodd,Department of Public Social Services District Office,Public Social Services,2004,"813 East 4th Place
Los Angeles 90013
(34.044105, -118.235988)",Mural,Tiling,Ceramic,1,9 ft.x 9 ft.* (2.7 x 2.7 m),2009.65.2
Willowbrook is... es...,Rosten Woo,Willowbrook Community,Public Health,2013,"823 Lexington-Gallatin Road
South El Monte 91733
(34.035698, -118.052669)",Book,Printing,Ink on paper,2,9 1/2 in.x 6 1/2 in.x 1/2 in.* (0.2 x 0.2 m),2013.12
Untitled (Proper Right Bas Relief Figures),Gaetana Salvatore Cartaino Scarpitta,LAC+USC General Hospital,Health Services,1933,"1200 North State Street
Los Angeles 90033
(34.06078, -118.20895)",Sculpture,Bas-relief,Stone,1,,2009.3.1.a-.c
Kaizuka Meditation Garden,Kaizuka Landscape Engineers,Culver City Julian Dixon Library,Public Library,1974,"4975 Overland Avenue
Culver City 90230
(34.007866, -118.39678)",Garden,Landscaping,"Lanterns, waterwheel, bridge, rocks, trees, shrubs and flowers",2,,2009.86
Totems in Indigo,Bari Ziperstein,Arcadia Park,Parks and Recreation,2013,"405 South Santa Anita Boulevard
Arcadia 91006
(34.134617, -118.03141)",Sculpture,Dyeing,"Indigo dyed canvas tote bag, leather on ceramic",5,,T.2013.7.1-.4
Untitled (Mednik Avenue Entrance Marker),Michael Amescua,East Los Angeles Civic Center,Internal Services,2007,"4800 East 3rd Street
Los Angeles 90022
(34.033269, -118.160724)",Sculpture,Casting,"Concrete, metal (iron?)",1,20 ft.* (6.1 m),2009.68.2.a-.b
Hose,Jason Greene,Fire Station 93,Fire,2008,"5624 East Avenue R
Palmdale 93552
(34.57254, -118.029149)",Painting,Painting,"Oil, wood glue, wood sealer, acrylic gesso primer, varnish on birch plywood",5,,2008.13.3
Exposition Park Welcomes the World,Goez Studios,Former Dept. of Public Social Services District Office,Public Social Services,1984,"3965 South Vermont Avenue
Los Angeles 90037
(34.01256, -118.291598)",Mural,Mural painting,Acrylic on brick,2,43 ft.x 132 ft.* (13.1 x 40.2 m),2009.46
Orit Haj,Didier Hess,Vasquez Rocks Natural Area Park,Parks and Recreation,2013,"10700 Escondido Canyon Road
Acton-Agua Dulce 91390
(34.48939, -118.320433)",Sculpture,Compaction,"Rammed earth, mixed media",5,,2012.16
Untitled (Sculpture 3),Emile Jordan,A.C. Bilbrew Library,Public Library,circa 1985,"150 East El Segundo Boulevard
Los Angeles 90061
(33.916419, -118.272281)",Sculpture,Carving,Wood,2,,2013.14.22
Our Legacy: Forever Presente,José Antonio Aguirre,East Los Angeles Library,Public Library,2004,"4837 East 3rd Street
Los Angeles 90022
(34.033405, -118.160366)",Mural,Mosaic,"Glass, limestone",1,64 ft.x 34 ft.* (19.5 x 10.4 m),2009.61.a-.d
Untitled (Sculpture 9),Emile Jordan,A.C. Bilbrew Library,Public Library,circa 1985,"150 East El Segundo Boulevard
Los Angeles 90061
(33.916419, -118.272281)",Sculpture,Carving,Wood,2,,2013.14.28
"California Landscape, Variation 2",Ken Gonzales-Day,South Los Angeles County Administration Building,Chief Executive Office - Real Estate,2007,"8300-8400 Vermont
Los Angeles 90044
(33.963491, -118.291593)",Mural,Tiling,Ceramic,2,5 ft. 11 in.x 9 ft. 10 in.* (1.8 x 3 m),2007.2.2
San Gabriel Library Mural,Robert Freeman,San Gabriel Library,Public Library,1984,"500 South Del Mar Avenue
San Gabriel 91776
(34.095579, -118.09958)",Mural,Mural painting,Acrylic on wall,5,7 ft. 6 in.x 45 ft.* (2.3 x 13.7 m),2009.45
Untitled (Mask 8),Emile Jordan,A.C. Bilbrew Library,Public Library,circa 1985,"150 East El Segundo Boulevard
Los Angeles 90061
(33.916419, -118.272281)",Sculpture,Carving,Wood,2,,2013.14.8
Untitled,Vincent J. Proby,A.C. Bilbrew Library,Public Library,1974,"150 East El Segundo Boulevard
Los Angeles 90061
(33.916419, -118.272281)",Glass,Glazing,"Cement, stained glass",2,10 ft.x 20 ft.* (3 x 6.1 m),2009.87
Untitled (Mask 12),Emile Jordan,A.C. Bilbrew Library,Public Library,circa 1985,"150 East El Segundo Boulevard
Los Angeles 90061
(33.916419, -118.272281)",Sculpture,Carving,Wood,2,,2013.14.12
The Water Cycle: Eternal Flow / El Ciclo del Agua: Eterno Manantial,Sonia Romero,Atlantic Avenue Park,Parks and Recreation,2008,"570 South Atlantic Boulevard
Los Angeles 90022
(34.025448, -118.155758)",Mural,Stenciling,"Acrylic paint, flexible plastic stencils",1,2 ft.x 224 ft.* (0.6 x 68.3 m),2008.12.1.a-.d
Rooted,Louise Griffin,East Rancho Dominguez Library,Public Library,2012,"4420 East Rose Street
East Rancho Domiguez 90221
(33.894251, -118.193644)",Glass,Glazing,"Photograph, glass",2,,2012.14.a-.f
Sun Salutations,Terry Braunstein,Sun Valley Health Center,Health Services,2008,"7223 Fair Avenue
Sun Valley 91352
(34.201614, -118.374684)",Mural,Tiling,"Glass, ceramic, photo transfer tile, hand-painted tile",3,,2008.4.a-.d
Untitled (Relief Sculpture 5),Emile Jordan,A.C. Bilbrew Library,Public Library,circa 1985,"150 East El Segundo Boulevard
Los Angeles 90061
(33.916419, -118.272281)",Sculpture,Carving,Wood,2,,2013.14.19
Tall Tails,Jacqueline Dreager,Van Nuys Civic Child Development Center,Public Works,2005,"14305 Sylvan Street
Van Nuys 91401
(34.184661, -118.444527)",Sculpture,Painting,"Acrylic, primer on steel",3,1/8 in.* (m),2009.63.a-.i
Unknown (Pardee Statue),Unknown,Burton W. Chace Park,Beaches and Harbors,1976,"13650 Mindanao Way
Marina Del Rey 90292
(33.977946, -118.444032)",Sculpture,Casting,bronze on marble; concrete,4,64 ft.x 19 ft.x 27 ft.* (19.5 x 5.8 x 8.2 m),2011.12
Our Community in the Foothills,Timothy Gibbs,La Crescenta Library,Public Library,2009,"2809 Foothill Boulevard
La Crescenta 91214
(34.224587, -118.240654)",Glass,Glazing,Stained glass,5,9 ft. 2 in.x 12 ft. 3 in.* (2.8 x 3.7 m),2009.81
Short Stories,Willie Middlebrook,Florence-Firestone Service Center,Community and Senior Services,2010,"7807 South Compton Avenue
Los Angeles 90001
(33.967728, -118.24768)",Mural,Printing,Archival pigments on canvas,2,6 ft.x 16 ft.* (1.8 x 4.9 m),2010.5
"Fertile Minds aka ""Books Bunny""",Gerald Heffernon,Sorensen Library,Public Library,2011,"11419 Rose Hedge Drive
Whittier 90606
(33.978574, -118.061663)",Sculpture,Casting,Silicon bronze alloy,1,5 ft. 6 in.x 10 in.x 10 in.* (1.7 x 0.3 x 0.3 m),2011.3
SOMETHING HAPPENED ON THE OLD ROAD (SHOTOR),Henk Pander,Fire Station 108,Fire,2008,"28799 Rock Canyon Drive
Santa Clarita 91380
(34.468729, -118.514066)",Painting,Painting,"Oil, gesso, varnish on linen",5,5 ft.x 8 ft.* (1.5 x 2.4 m),2008.15.1
It Leaves,Merge Conceptual Design,Rowan Dozier Bus Layover,Public Works,2009,"427 North Rowan Avenue
Los Angeles 90063
(34.04136, -118.187033)",Mural,Mural painting,Acrylic,1,150 ft.* (45.7 m),T.2009.76
Untitled (Cesar Chavez Mural),Unknown,Firestone Area Probation Office,Probation,1996,"8526 Grape Street
Los Angeles 90001
(33.96082, -118.236251)",Mural,Mural painting,acrylic paint,2,,M.2015.4
Untitled (Light Fixture),Ruben Guajardo,La Verne Library,Public Library,2012,"3640 D Street
La Verne 91750
(34.111919, -117.765729)",Lighting fixture,Carving,Wood,5,,2012.19
Untitled,Solomon Dember,Bob Hope Patriotic Hall,Military and Veterans Affairs,1982,"1816 South Figueroa Street
Los Angeles 90015
(34.035381, -118.271381)",Mural,Fresco painting,Paint on stucco,1,16 ft.x 48 ft.* (4.9 x 14.6 m),2009.92
Untitled,Wild Life,Monteith Park,Parks and Recreation,2014,"4616 South Mullen Avenue
Los Angeles 90043
(33.999145, -118.337634)",Sculpture,Painting,Paint on wood,2,,T.2014.1.a-.d
Untitled (Children's Picture Book),Ben Mayer,Norwalk Library,Public Library,1969,"12350 Imperial Highway
Norwalk 90650
(33.917078, -118.069236)",Mural,Mosaic,Ceramic,4,,2009.20.3
Untitled,P. Takuma Tono,Gardena Mayme Dear Library,Public Library,1964,"1731 West Gardena Boulevard
Gardena 90247
(33.881949, -118.307583)",Garden,Landscaping,"Plants, trees, rocks, sand",2,,2009.16
Untitled (Columns),Roberto Lloyd Delgado,East Los Angeles Civic Center,Internal Services,2007,"4800 East 3rd Street
Los Angeles 90022
(34.033269, -118.160724)",Mural,Mosaic; Tiling,"Glazed porcelain, glass",1,,2009.69.1-.2
Untitled (Mural panels by community children),Diana Sofia Estrada,Arcadia Park,Parks and Recreation,2012,"405 South Santa Anita Boulevard
Arcadia 91006
(34.134617, -118.03141)",Painting,Mural painting,paint and varnish on wood,5,4 ft.x 8 ft.* (1 x 2 m),T.2012.22
La Verne Citrus Label Mural,Chris Toovey,La Verne Library,Public Library,1985,"3640 D Street
La Verne 91750
(34.111919, -117.765729)",Mural,Tiling,"Ceramic, wood",5,4 ft.x 4 ft.* (1.2 x 1.2 m),2010.1
One Desert Sky,Brad Howe,High Desert Regional Health Center,Health Services,2014,"335 East Avenue I
Lancaster 93535
(34.704055, -118.124855)",Kinetic sculpture,Metal cutting,"Aluminum 6061alloy, stainless steel 308 alloy, Diamont brand automotive polyurethane",5,29 ft.x 91 ft.x 15 ft.* (8.8 x 27.7 x 4.6 m),2014.5.a-.c
The Law Givers,Albert Stewart,Kenneth Hahn Hall of Administration,Internal Services,1960,"500 West Temple Street
Los Angeles 90012
(34.057403, -118.245522)",Sculpture,Bas-relief,Glazed terra cotta,1,16 ft.x 5 ft.x 3 ft.* (4.9 x 1.5 x 0.9 m),2009.10.a-.b
Untitled,Frank Matranga,View Park Library,Public Library,1976,"3854 West 54th Street
Los Angeles 90043
(33.993053, -118.341289)",Mural,Tiling,Ceramic,2,,2009.36
Untitled (Two-headed Dragon),Benjamin Dominguez,Whittier Narrows Recreation Area,Parks and Recreation,1961,"823 Lexington-Gallatin Road
South El Monte 91733
(34.035698, -118.052669)",Sculpture,Casting,"Concrete, steel, paint",1,7 ft.x 25 ft.x 10 ft.* (2.1 x 7.6 x 3 m),2009.84.4.a-.e
Catawampus,Patrick Dougherty,Los Angeles County Arboretum and Botanic Garden,Parks and Recreation,2008,"301 North Baldwin Avenue
Arcadia 91007
(34.143238, -118.050941)",Sculpture,Assembling,Plant materials,5,,T.2008.2
Every Piece of Ivory Comes from a Dead Elephant,Damon Martin,Department of Public Social Services District Office,Public Social Services,2012,"813 East 4th Place
Los Angeles 90013
(34.044105, -118.235988)",Mural,Mural painting,Paint,1,,M.2012.9
Untitled (Starfish),Benjamin Dominguez,Whittier Narrows Recreation Area,Parks and Recreation,1961,"823 Lexington-Gallatin Road
South El Monte 91733
(34.035698, -118.052669)",Sculpture,Casting,"Concrete, steel, paint",1,4 ft.x 8 ft.x 8 ft.* (1.2 x 2.4 x 2.4 m),2009.84.5
Untitled (Cityscape),Roberto Gutierrez,City Terrace Library,Public Library,1993,"4025 East City Terrace Drive
Los Angeles 90063
(34.055694, -118.178146)",Painting,Painting,"Acrylic, watercolor on paper",1,1 ft. 6 1/4 in.x 1 ft. 10 1/4 in.* (0.5 x 0.6 m),2011.8
Labyrinth,Annemarie Rawlinson,Harbor-UCLA Medical Center,Health Services,2003,"1000 West Carson Street
Torrance 90502
(33.831583, -118.294546)",Mural,Painting,Acrylic on floor,2,,2009.60.a-.d
"Muse of Music, Dance, Drama",George Maitland Stanley,Hollywood Bowl,Parks and Recreation,1940,"2301 North Highland Avenue
Los Angeles 90068
(34.111255, -118.336239)",Sculpture,Carving,Lucerne granite on concrete,3,,2009.4
Untitled,Malcolm Leland,Hall of Records,Internal Services,1957,"320 West Temple Street
Los Angeles 90012
(34.056179, -118.244056)",Sculpture,Extrusion,Ceramic,1,,2009.13
OBSERVATION POST 1,Rebeca Mendez,Pico Rivera Library,Public Library,2013,"9001 Mines Avenue
Pico Rivera 90660
(33.991268, -118.088866)",Sculpture,Casting,Cor-Ten steel on concrete,1,,2014.2.2
Untitled (Senbazru),Louise Griffin,Augustus Hawkins Mental Health,Mental Health,2013,"1720 East 120th Street
Los Angeles 90059
(33.924596, -118.242492)",Mural,Mural painting,Dunn Edwards paint on concrete,2,,2013.2
A Healing Home,Dominique Moody,"Martin Luther King, Jr. Medical Campus",Health Services,2014,"1670-1680 East 120th Street
Los Angeles 90059
(33.92427, -118.24458)",Sculpture,Assembling,"Metal, redwood, glass",2,,2014.4.1
"Robin, Jenny, Eric, Ralph & Lynne",Elaine Katzer,Clifton M. Brakensiek Library,Public Library,1975,"9945 East Flower Street
Bellflower 90706
(33.882103, -118.121803)",Mural,Tiling,Stoneware,4,5 ft.x 20 ft. 9 in.* (1.5 x 6.3 m),2009.32.2
Untitled (Mask 3),Emile Jordan,A.C. Bilbrew Library,Public Library,circa 1985,"150 East El Segundo Boulevard
Los Angeles 90061
(33.916419, -118.272281)",Sculpture,Carving,Wood,2,,2013.14.3
"California Landscape, Variation 4",Ken Gonzales-Day,South Los Angeles County Administration Building,Chief Executive Office - Real Estate,2007,"8300-8400 Vermont
Los Angeles 90044
(33.963491, -118.291593)",Mural,Tiling,Ceramic,2,53 ft. 3 in.x 14 ft. 9 in.* (16.2 x 4.5 m),2007.2.4
Woven Hands (Community Mental Health),Kim Abeles,Kedren Community Mental Health Center,Mental Health,2013,"4211 South Avalon Boulevard
Los Angeles 90011
(34.007332, -118.265253)",Installation,Assembling,Digital moving image format on wood,2,8 ft.x 12 ft. 3 in.x 2 ft. 10 1/2 in.* (2.4 x 3.7 x 0.9 m),2013.13
The Short Life of John Doe (La Vida Breve de Alfonso Fulano),Goez Studios,Centro Maravilla Service Center,Community and Senior Services,1975,"4716 Cesar E. Chavez Avenue
Los Angeles 90022
(34.040597, -118.164252)",Mural,Mural painting,Acrylic on stucco,1,8 ft.x 60 ft.* (2.4 x 18.3 m),2009.33.a-.c
Untitled (Bridge Railing),Al Price,4th Avenue Park,Parks and Recreation,2012,"553 South 4th Avenue
La Puente 91746
(34.034837, -117.992536)",Fence,Welding,Powdercoated steel,1,3 ft. 3 in.x 110 ft.x 5 in.* (1 x 33.5 x 0.1 m),2012.7
Untitled (Aztec Calendar),Daniel Dodd,Department of Public Social Services District Office,Public Social Services,2005,"813 East 4th Place
Los Angeles 90013
(34.044105, -118.235988)",Mural,Tiling,Ceramic,1,9 ft.x 9 ft.* (2.7 x 2.7 m),2009.65.3
"Tree by Tree, from Sea to Mountains",Rebeca Mendez,Registrar-Recorder/County Clerk Warehouse,Registrar-Recorder/County Clerk,2008,"12686 Corral Place
Santa Fe Springs 90670
(33.933642, -118.06288)",Banner,Printing,Vinyl,1,15 ft.x 132 ft.* (4.6 x 40.2 m),2008.11.1
Tapestry of Dreams,Matt Doolin,Fire Station 71,Fire,2014,"28722 West Pacific Coast Highway
Malibu 90265
(34.020378, -118.797279)",Mural,Mosaic,Ceramic,3,9 ft.x 45 ft.* (2.7 x 13.7 m),2014.10.a-.c
