Grantee Name,Discipline,Grant Award,Project,OGP Category,Grantee Website,Application Year
dA Center for the Arts,Multidisciplinary,$16000.00,To support ARTS programming and Artlink outreach programs.,1,http://www.dacenter.org,2015-16
Dance Resource Center of Greater Los Angeles,Arts Service ,$7700.00,To support staff salaries and a contractor stipend.,1,http://www.drc-la.org,2015-16
Danceshoes Studio Showtime-Katusha,Multidisciplinary,$6800.00,"To support the production of the annual cultural festival ""Russian Celebration.""",1,http://www.Showtime-Katusha.com,2015-16
Dancing Classrooms Los Angeles,Arts Education,$21300.00,To support executive and development director salaries.,1,http://www.dancingclassroomsla.org,2015-16
Deaf West Theatre,Theatre,$25800.00,"To support new administrative, development and marketing staff.",2,http://www.deafwest.org,2015-16
Downey Art Vibe Inc.,Multidisciplinary,$10600.00,To support operating costs and artistic productions of Stay Gallery.,1,http://www.facebook.com/DowneyArtVibe,2015-16
Downtown Repertory Theater Company,Theatre,$3200.00,To support the artistic director's salary.,1,http://www.downtownrep.com,2015-16
Eagle Rock Cultural Association,Multidisciplinary,$31400.00,"To support staff, exhibitions and concerts.",2,http://www.cfaer.org,2015-16
ETC Theatre Company,Multidisciplinary,$5800.00,To support artistic director and managing staff.,1,http://www.etctheatre.org,2015-16
Fantasia Family Music,Arts Education,$18800.00,To support marketing and development administration salaries.,1,http://www.fantasiafamilymusic.org,2015-16
Filmforum Inc,Media Arts,$21800.00,To support experimental film and video screenings.,2,http://www.lafilmforum.org,2015-16
Floricanto Dance Theatre,Traditional & Folk Art,$19000.00,"To support programs, including a 40th anniversary celebration, three performances and information technology upgrades.",1,http://www.danzafloricantousa.com,2015-16
Foundation for Dance Education,Dance,$31900.00,To support marketing and development staff.,2,http://www.ipballet.org,2015-16
Fountain Theatre,Theatre,$27700.00,"To support the creation, development and world premiere of a play by Luis Alfaro about the life and work of Father Gregory Boyle.",2,http://www.fountaintheatre.com,2015-16
Francisco Martinez Dancetheatre,Dance,$3700.00,To support the 34th and 35th seasons.,1,http://www.fmdt.org,2015-16
Friends  Foundation of the CAAM,Visual Arts,$29000.00,To support a development associate salary and development software upgrade.,2,http://www.caamuseum.org,2015-16
Friends of Arts Education at the Cerritos Center for the Performing Arts,Arts Education,$25800.00,To support the Educational Performance Program for youth.,2,http://www.faecerritoscenter.org,2015-16
Friends of the Los Angeles Bach Festival,Music-Choral/Opera,$5300.00,To support the executive director salary.,1,http://www.fccla.org,2015-16
Future Roots inc.,Media Arts,$21400.00,"To support salaries, office and studio supplies, radio programming and website.",1,http://www.futureroots.org,2015-16
Geffen Playhouse,Theatre,$78100.00,"To support the continuation of our LIGHTS UP Program, providing free year-long access and engagement opportunities for community members.",3,http://www.geffenplayhouse.com,2015-16
Ghost Road Company,Theatre,$8000.00,To support the development and creation of two new ensemble theatre works.,1,http://www.ghostroad.org,2015-16
Ginga Arts Inc.,Arts Education,$7400.00,To support weekly capoeira classes at EXPO Center.,1,http://www.gingaarts.org,2015-16
GO-FAME,Arts Education,$15400.00,To support production expenses and staff salaries.,1,http://www.go-fame.org,2015-16
Grand Performances,Presenting,$48000.00,To support performances and outreach activities as part of free multi-disciplinary performing arts series.,3,http://www.grandperformances.org,2015-16
Great Leap  inc.,Traditional & Folk Art,$18800.00,To support executive/artistic directors and associate artistic director salaries.,1,http://www.greatleap.org,2015-16
Hollywood Arts Council,Multidisciplinary,$19600.00,To support the executive director salary.,1,http://www.hollywoodartscouncil.org,2015-16
Hollywood HEART,Multidisciplinary,$22000.00,To support hiring a development associate.,2,http://www.hollywoodheart.org,2015-16
Hollywood Master Chorale,Music-Choral/Opera,$6500.00,"To support the artistic director salary, musical associates and orchestra costs.",1,http://www.HollywoodMasterChorale.org,2015-16
Human Resources LA Inc.,Multidisciplinary,$13200.00,To support gallery and performance space rental costs.,1,http://www.humanresourcesla.com,2015-16
Impro Theater Los Angeles TheatreSports,Theatre,$19000.00,"To support salaries for the artistic director, associate artistic director, managing director, and school head.",2,http://www.improtheatre.com,2015-16
INCA  the Peruvian Music & Dance Ensemble,Traditional & Folk Art,$8000.00,To support music performances.,1,http://www.wheatmedia.com/inca,2015-16
Indian Film Festival of Los Angeles,Media Arts,$22100.00,To support festival artistic director and programmer salaries.,1,http://www.indianfilmfestival.org,2015-16
Inland Valley Repertory Theatre  Inc.,Theatre,$14800.00,To support the executive director salary.,1,http://www.ivrt.org,2015-16
Inner-City Arts,Arts Education,$53600.00,"To support out-of-school arts programming for 1,500 LAUSD K-12 students.",3,http://www.inner-cityarts.org,2015-16
Innercity performing arts,Theatre,$3000.00,To support ongoing theatre programming for youth.,1,http://www.innercityshakespeare.org,2015-16
Institute of Art  Music and Science,Arts Education,$18100.00,To support administrative assistant salary and overhead fees.,1,http://www.music-institute.org,2015-16
International City Theatre,Theatre,$32500.00,To support productions and programs.,2,http://www.internationalcitytheatre.org,2015-16
iPalpiti Artists International  Inc.,Music-Instrumental,$24100.00,To support administrative salaries.,2,http://www.ipalpiti.org,2015-16
Japanese American Cultural & Community Center,Multidisciplinary,$50000.00,To support free tickets for seniors and low income families in Little Tokyo.,3,http://www.jaccc.org,2015-16
Justice By Uniting In Creative Energy,Multidisciplinary,$4800.00,To support core programming to provide weekly free hiphop arts activities in the Rampart District.,1,http://www.rampartjuice.com,2015-16
KCET Community Television of Southern California,Media Arts,$110000.00,To support the ARTBOUND series.,4,http://www.kcet.org,2015-16
Khmer Arts Academy,Traditional & Folk Art,$24200.00,"To support the rental, operation and management of its studio and office facility in the Cambodia Town section of Long Beach.",2,http://www.khmerarts.org,2015-16
Kings and Clowns  Inc.,Arts Education,$17700.00,To support facility and office rental costs.,1,http://www.kingsandclowns.com,2015-16
Kodo Arts Sphere America,Traditional & Folk Art,$3600.00,To support the program director salary.,1,http://www.kodoarts.org,2015-16
LA Contemporary Dance,Dance,$22200.00,To support artistic director and company manager/media coordinator salaries.,1,http://www.ladanceco.org,2015-16
Lambda Literary Foundation,Literary Arts,$24800.00,To support programs coordinator.,2,http://www.lambdaliterary.org,2015-16
Latino Theater Company,Theatre,$44100.00,To support student involvement in the presentation of “A Mexican Trilogy” by Evelina Fernandez.,3,http://www.thelatc.org,2015-16
LAUNCH Productions  Inc.,Multidisciplinary,$20100.00,"To support executive director, office and exhibition rental space costs.",1,http://www.launchla.org,2015-16
Light Bringer Project,Arts Education,$20100.00,To support a program coordinator position.,1,http://www.lightbringerproject.com,2015-16
Lineage Dance Company,Dance,$21500.00,"To support executive director, development and programs director positions.",2,http://www.lineagedance.org,2015-16
Long Beach Chorale & Chamber Orchestra Inc.,Music-Choral/Opera,$16600.00,"To support general manager and bookkeeper, artistic fees and equipment purchases.",1,http://www.longbeachchorale.org,2015-16
Long Beach Community Players  Inc.,Theatre,$25300.00,To support Studio Theatre Programming.,2,http://www.lbplayhouse.org,2015-16
Long Beach Museum of Art Foundation,Visual Arts,$44100.00,"To support the Free Friday admission program to increase attendance, diversify audiences and make the museum accessible to all visitor groups.",3,http://www.lbma.org,2015-16
Long Beach Opera,Music-Choral/Opera,$46000.00,To support staff salaries.,3,http://www.longbeachopera.org,2015-16
Long Beach Symphony Association,Music-Instrumental,$52600.00,To support free chamber music performances and a free summer orchestra concert.,3,http://www.lbso.org,2015-16
Los Angeles Ballet  Inc.,Dance,$51400.00,To support dancer salaries.,3,http://www.losangelesballet.org,2015-16
Los Angeles Chamber Ballet,Dance,$22100.00,To support artistic director salary.,1,http://www.raifordrogers.com,2015-16
Los Angeles Children's Chorus,Arts Education,$50700.00,To support marketing and communications.,3,http://www.lachildrenschorus.org,2015-16
Los Angeles Clarinet Choir,Music-Instrumental,$3300.00,"To support  artistic director salary, composer commissions and  rental fees.",1,http://www.losangelesclarinetchoir.com,2015-16
Los Angeles Contemporary Exhibitions Inc,Visual Arts,$27900.00,"To support the launch of the Project Room, an open platform for process based and research oriented works.",2,http://www.welcometolace.org,2015-16
Los Angeles Doctors Symphony Orchestra,Music-Instrumental,$10200.00,"To support musicians, performances and rental fees, social media and website.",1,http://www.ladso.org,2015-16
Los Angeles Opera,Music-Choral/Opera,$162700.00,"To support a community engagement initiative for underserved constituents in diverse geographies, community opera and mainstage full opera productions.",4,http://www.laopera.com,2015-16
Los Angeles Poverty Department,Multidisciplinary,$23100.00,To support peformance workshops for housed and homeless residents of Skid Row and the production of the annual Festival for All Skid Row Artist.,1,http://www.lapovertydept.org,2015-16
Los Angeles Theatre Academy,Arts Education,$11500.00,"To support teaching, rehearsal and performance space rental.",1,http://www.latheatreacademy.com,2015-16
MAK Center for Art and Architecture L.A.,Visual Arts,$36200.00,"To support exhibitions, development consultant and outreach initiatives.",3,http://www.makcenter.org,2015-16
MashUp Contemporary Dance Company,Dance,$20000.00,"To support computer technology costs, office manager and grant writing fees.",1,http://www.mashupdance.com,2015-16
Materials & Applications,Multidisciplinary,$20200.00,To support director and development staff.,1,http://www.emanate.org,2015-16
Museum of Neon Art,Visual Arts,$15700.00,To support a new full time program coordinator staff position.,1,http://www.neonmona.org,2015-16
Music Center Education Division,Arts Education,$55300.00,To support Music Center on Tour.,3,http://www.musiccenter.org,2015-16
Musica Angelica Baroque Orchestra (formerly Apollo Amused),Music-Instrumental,$29500.00,To support 2015/16 and 2016/17 seasons.,2,,2015-16
Musical Theatre Guild,Theatre,$18100.00,To support development and marketing initiatives and contractors.,1,http://www.musicaltheatreguild.com,2015-16
Musical Theatre West,Theatre,$47900.00,To support production managers salary.,3,http://www.musical.org,2015-16
MUSYCA,Arts Education,$21400.00,To support artistic staff salaries.,1,http://www.musyca.org,2015-16
National Association of Latino Independent Produce,Arts Service ,$29700.00,To support rent and programming costs.,2,http://www.nalip.org,2015-16
Network of Myanmar American Association,Traditional & Folk Art,$4300.00,To support the annual Myanmar (Burmese) Film Festival of Los Angeles.,1,http://www.netmaa.org,2015-16
Olvera Street Merchants Association Foundation,Traditional & Folk Art,$12700.00,To support free programs.,1,http://www.calleolvera.com,2015-16
OperaWorks,Music-Choral/Opera,$23900.00,To support strategic and fund development plan and leadership coaching.,2,http://www.operaworks.org,2015-16
Orchestra Santa Monica,Music-Instrumental,$20600.00,To support two seasons of orchestral and chamber concerts.,1,http://www.orchestrasantamonica.org,2015-16
Other Side of the Hill Productions Ic,Theatre,$22900.00,"To support salaries for the managing director, Lankershim Arts Center administrator and Arts Colony project manager.",1,http://www.roadtheatre.org,2015-16
P.S. Arts,Arts Education,$54200.00,To support music education in seven underserved public schools in the Lawndale Elementary School District.,3,http://www.psarts.org,2015-16
Pacific Crest Youth Arts Organization,Arts Education,$33900.00,"To support salaries and stipends for instructors, arrangers, composers and choreographers.",2,http://www.pacific-crest.org,2015-16
Pacific Resident Theatre,Theatre,$24200.00,To support artistic directors and business managers salaries.,2,http://www.PacificResidentTheatre.com,2015-16
Pasadena Arts Council,Arts Service ,$39500.00,To support staff salaries.,2,http://www.pasadenaartscouncil.org,2015-16
Pasadena Conservatory of Music,Arts Education,$52300.00,To support the Young Musicians program at Jefferson Elementary School.,3,http://www.pasadenaconservatory.org,2015-16
Pasadena Museum of California Art,Visual Arts,$38000.00,To support the Nature of William S. Rice and Claire Falkenstein exhibitions.,3,http://www.pmcaonline.org,2015-16
Pasadena Playhouse State Theatre of California,Theatre,$67800.00,"To support Our Stories, an initiative to include communities throughout Los Angeles County in the art of theatrical storytelling.",3,http://www.pasadenaplayhouse.org,2015-16
Pasadena Symphony Association,Music-Instrumental,$51400.00,To support the annual Music Under the Stars free concert program.,3,http://www.pasadenasymphony-pops.org,2015-16
Piece by Piece,Visual Arts,$23700.00,To support artistic and program director salaries and workshops for Skidrow residents.,2,http://www.piecebypiece.org,2015-16
Plaza de la Raza,Multidisciplinary,$30700.00,"To support artists fees, production and programming expenses for the 45th anniversary and annual Day of the Dead Celebration.",2,http://www.plazadelaraza.org,2015-16
Pony Box Dance Theatre,Dance,$5700.00,To support an artistic capacity project.,1,http://www.ponyboxdance.org,2015-16
Precision Dance Company,Dance,$17900.00,To support annual showcases.,1,http://www.precisiondance.org,2015-16
Public Corporation for the Arts,Arts Service ,$31100.00,To support a marketing and audience development initiative.,2,http://www.artslb.org,2015-16
Rampart Theater Project  Inc.,Theatre,$22200.00,To support subsidizing the salary of a full-time managing director and technical director in support of continued live theatrical events every weekend.,1,http://www.bootlegtheater.org,2015-16
Razorcake/Gorsky Press  Inc.,Multidisciplinary,$20500.00,To support editor-in-chief/executive director and managing editor compensation.,1,http://www.razorcake.org,2015-16
Repertory East Playhouse,Theatre,$17500.00,To support a part-time theatre manager.,1,http://www.repeastplayhouse.orbg,2015-16
Repertory Opera Company,Music-Choral/Opera,$10100.00,"To support fees for musicians, coaches, conductors and collaborative artists.",1,http://www.repertoryoperacompany.org,2015-16
Rogue Artists Ensemble,Theatre,$11800.00,To support staff salaries.,1,http://www.rogueartists.org,2015-16
Rupak School of World Music,Traditional & Folk Art,$3500.00,To support four classical/world music concerts.,1,http://www.rupakschoolofmusic.org,2015-16
Ryman-Carroll Foundation,Arts Education,$41100.00,To support the education managers salary.,3,http://www.rymanarts.org,2015-16
San Fernando Valley Symphony,Music-Instrumental,$11200.00,"To support artistic staff salaries, venue rentals and concerts.",1,http://www.sfvsymphony.com,2015-16
San Fernando Valley Youth Chorus,Music-Choral/Opera,$12200.00,"To support music director, staff and accompanist salaries and rehearsal hall rental.",1,http://www.valleyyouthchorus.org,2015-16
San Pedro City Ballet,Dance,$19300.00,"To support guest artists performance fees, costume design/construction, set design, rehearsal space rental/construction  and outreach for annual Nutcracker.",1,http://www.SanPedroCityBallet.org,2015-16
Santa Clarita Master Chorale  Inc.,Music-Choral/Opera,$20900.00,"To support compensation of professional instrumentalists, soloists, professional singers and artistic staff.",1,http://www.scmasterchorale.org,2015-16
Shakespeare by the Sea,Theatre,$26500.00,"To support the managing director, festival producer and increased artist fees.",2,http://www.shakespearebythesea.org,2015-16
Show Box L.A.,Dance,$8400.00,To support co-director staff salaries.,1,http://www.showboxla.org,2015-16
Side Street Projects,Arts Education,$24500.00,To support woodworking classes for third graders in Pasadena Unified School District as part of a K-6 curriculum.,2,http://www.sidestreet.org,2015-16
SongFest,Music-Choral/Opera,$26800.00,To support staff salaries.,2,http://www.songfest.us,2015-16
Sound Art,Arts Education,$23800.00,To support executive director salary.,2,http://www.soundartla.org,2015-16
South Bay Ballet,Dance,$24500.00,To support key artistic and administrative staff salaries.,2,http://www.southbayballet.org,2015-16
South Bay Chamber Music Society,Music-Instrumental,$11900.00,"To support Opus Tomorrow, a program commissioning new chamber works from composers and performed by emerging local ensembles.",1,http://www.palosverdes.com/sbcms,2015-16
South Coast Dance Arts Alliance,Dance,$7400.00,To support staff salaries and dancers stipends.,1,http://www.nbdt.net,2015-16
South East European Film Festival,Media Arts,$9200.00,To support artistic staff salaries and program production costs.,1,http://www.seefilmla.org,2015-16
Southern California Asian American Studies Central,Media Arts,$28400.00,To support the Armed with a Camera Fellowship.,2,http://www.vconline.org,2015-16
Suarez Dance Theater Inc.,Dance,$3800.00,"To support the creation of Mother.Father., a new dance-theater work about the parenting experiences of same sex parents and single adoptive parents.",1,http://www.suarezdance@gmail.com,2015-16
Symphonic Jazz Orchestra,Arts Education,$22900.00,To support outreach coordinator and music director salaries.,1,http://www.sjomusic.org,2015-16
Team Theatrics  Inc.,Arts Education,$19800.00,To support spring and fall shows.,2,,2015-16
The Blank Theatre Company,Theatre,$23400.00,To support the annual Young Playwrights Festival.,2,http://www.TheBlank.com,2015-16
The Brimmer Street Theatre Company  Inc.,Theatre,$4500.00,"To support the Blueprint Series ""Breaking Ground"" and other new play development efforts.",1,http://www.brimmerstreet.org,2015-16
The Fund for Music,Music-Instrumental,$38500.00,To support staff salaries.,2,http://www.muse-ique.com,2015-16
The Garage Theatre,Theatre,$6800.00,"To support stipends for actors, designers and stage managers, and materials.",1,http://www.thegaragetheatre.org,2015-16
The H.E.Art Project dba artworxLA,Arts Education,$50000.00,To support three staff salaries.,3,http://www.artworxla.org,2015-16
The Harry Bridges Project,Theatre,$9800.00,To support on-going programming presentation of two plays to Los Angeles County community colleges.,1,http://www.theharrybridgesproject.org,2015-16
The Music Circle,Presenting,$11800.00,To support the 2015-16 and 2016-17 concert series.,1,http://www.MusicCircle.org,2015-16
The New American Theatre,Theatre,$19700.00,"To support actors, designers and artistic personnel.",1,http://www.NewAmericanTheatre.com,2015-16
The New Victory Theatre,Theatre,$20800.00,"To support artistic programming, production costs and marketing.",1,http://www.thevictorytheatrecenter.org,2015-16
The Santa Fe Springs Chapter of the SPEBSQSA  Inc. (Masters of Harmony),Music-Choral/Opera,$21100.00,"To support technology, marketing and public relations platforms.",1,http://www.mastersofharmony.org,2015-16
The Shakespeare Center of Los Angeles,Theatre,$43300.00,To support outdoor summer Shakespeare performances on the grounds of the Veterans Administration in West Los Angeles.,3,http://www.shakespearecenter.org,2015-16
The Society for the Activation of Social Space through Art and Sound,Multidisciplinary,$16100.00,"To support director, assistant directors of programming and administration salaries.",1,http://www.sassas.org,2015-16
The Unusual Suspects Theatre Company,Arts Education,$30500.00,To support the Youth Theatre Residency Program.,2,http://www.theunusualsuspects.org,2015-16
The Verdi Chorus,Music-Choral/Opera,$19800.00,"To support compensation for artistic staff, section leaders and guest soloists.",1,http://www.verdichorus.org,2015-16
THE WULF,Multidisciplinary,$4300.00,To support the season of events.,1,http://www.thewulf.org,2015-16
Theatre of NOTE,Theatre,$19100.00,To support the establishment of a new managing director position.,1,http://www.theatreofnote.com,2015-16
Theatre West  Inc.,Theatre,$23700.00,"To support marketing, IT/Data and administrative staff.",2,http://www.theatrewest.org,2015-16
Tia Chucha's Centro Cultural Inc.,Multidisciplinary,$25100.00,To support development director and additional development staff.,2,http://www.tiachucha.com,2015-16
Towne Street Theatre,Theatre,$5100.00,To support publicist and marketing team costs.,1,http://www.townestreet.org,2015-16
Unbound Productions,Theatre,$19700.00,To support three part-time staff.,1,http://www.wickedlit.org,2015-16
Velaslavasay Panorama,Multidisciplinary,$20300.00,"To support events manager compensation, event videography and program series rental costs.",1,http://www.panoramaonview.org,2015-16
Virginia Avenue Project,Arts Education,$22600.00,To support programs.,2,http://www.virginiaavenueproject.org,2015-16
Watts Village Theater Company,Theatre,$21100.00,To support managing and artistic directors salaries.,1,http://www.wattsvillagetheatercompany.com,2015-16
Wesley Music Ministries,Arts Education,$13300.00,To support instrumental music education programs and space rental costs.,1,http://www.wesleymusicministries.wordpress.com,2015-16
Whittier Community Theatre,Theatre,$13500.00,"To support musical directors and professional musicians salaries, directors and technician stipends.",1,http://www.whittiercommunitytheatre.org,2015-16
Will Geer's Theatricum Botanicum,Theatre,$35000.00,"To support computer/software upgrades, website, telecommunication, lighting and sound improvements, marketing and administrative strategies.",2,http://www.theatricum.com,2015-16
Writers Guild Foundation,Media Arts,$36800.00,To support extended evening and Saturday library hours and parking.,2,http://www.wgfoundation.org,2015-16
Yiddishkayt Los Angeles,Multidisciplinary,$22500.00,"To support staff salaries, multimedia materials for online communications and digital art exhibitions.",1,http://www.yiddishkayt.org,2015-16
Young Storytellers Foundation,Arts Education,$25300.00,To support staff salaries.,2,http://www.youngstorytellers.com,2015-16
Zimmer Children's Museum,Arts Education,$50000.00,"To support “Arts in Action"", including ten visual and performing arts workshops with four arts camps for youth.",3,http://www.zimmermuseum.org,2015-16
24th Street Theatre Company,Theatre,$29100.00,"To support succession planning including a board/staff retreat, nationwide search for new executive/managing director and first year of compensation.",2,http://www.24thstreet.org,2016-17
A Noise Within,Theatre,$47500.00,To support new five year strategic plan.,3,http://www.anoisewithin.org,2016-17
A Window Between Worlds,Visual Arts,$42300.00,"To support Transforming Trauma, an artistic collaboration with artist Fabian Debora.",3,http://www.awbw.org,2016-17
Academy for New Musical Theatre,Theatre,$18200.00,"To support expansion of outreach and diversity programs for both audiences and artists of new
works of musical theatre.",1,http://www.anmt.org,2016-17
"Actors Gang, Inc.",Theatre,$34300.00,To support artistic and management positions.,2,http://www.theactorsgang.com,2016-17
American Contemporary Ballet,Dance,$21000.00,To support the artistic director.,2,http://acbdances.com,2016-17
An Claidheamh Soluis,Traditional & Folk Art,$3200.00,To support rental fees for cultural events and weekly programming.,1,http://www.celticartscenter.com,2016-17
Angel City Arts,Presenting,$19100.00,To support the Annual Angel City Jazz Festival and the Young Artist Competition for L.A. area college and high school students.,1,http://www.angelcityarts.org,2016-17
Aresis Ensemble,Theatre,$17900.00,To support artistic director.,1,http://www.citygarage.org,2016-17
"Armand Hammer Museum of Art and Cultural Center, Inc.",Visual Arts,$98300.00,To support the Public Engagement program.,4,http://www.hammer.ucla.edu,2016-17
Armory Center for the Arts,Arts Education,$44600.00,To support Community Pathways.,3,http://www.armoryarts.org,2016-17
Arts & Services for Disabled Inc.,Multidisciplinary,$45400.00,"To support art workshops and exhibitions to showcase works created by artists with
developmental disabilities.",3,http://www.artsandservices.org,2016-17
Arts for LA,Arts Service/,$21700.00,"To support strategic plan implementation with support for salaries for executive and development
staff.",1,http://www.artsforla.org,2016-17
Association for the Advancement of Filipino American Arts and Culture,Presenting,$17200.00,"To support implementation of a strategic plan, as well as leadership development and succession planning.",1,http://www.filamarts.org,2016-17
Autry Museum of the American West,Theatre,$79800.00,"To support Native Voices at the Autry, a resident theatre company which develops and presents
new work for the stage by Native American writers.",3,http://www.autrynationalcenter.org,2016-17
Balkan Cultural Center,Media Arts,$18500.00,"To support the annual Los Angeles Greek Film Festivals, bringing the American, Greek and 
Balkan communities of Los Angeles together through the art of cinema.",1,http://www.lagff.org,2016-17
Beach Cities Symphony,Music-Instrumental,$6900.00,"To support two concert seasons including four free classical music concerts featuring four young
prize-winning soloists.",1,http://www.beachcitiessymphony.org,2016-17
"Benita Bike's DanceArt, Incorporated",Dance,$3800.00,To support artists’ fees.,1,http://www.DanceArt.org,2016-17
Body Weather Laboratory,Dance,$5500.00,To support biannual dance performance series and movement research workshops.,1,http://www.lightningshadow.com,2016-17
Boyle Heights Arts Conservatory,Arts Service/,$20400.00,"To support OpenLA, a pilot program to fund visual and performing artists to develop, share and document their art and process.",1,http://www.bharts.org,2016-17
California LGBT Arts Alliance,Multidisciplinary,$7300.00,"To increase director compensation and time commitment to strengthen artistic programming,
fundraising and community engagement capacities.",1,http://www.calgbtartsaliance.com,2016-17
Camerata Singers of Long Beach,Music-Choral/Opera,$18800.00,To support the presentation of four fully orchestrated choral concerts.,2,http://www.longbeachcameratasingers.org,2016-17
Center for Cultural Innovation,Arts Service/,$31100.00,"To support core program services for artists in Los Angeles through entrepreneurial training and
professional development mini-grants.",2,http://www.cciarts.org,2016-17
Center for Land Use Interpretation,Visual Arts,$19200.00,To support a program manager.,1,http://www.clui.org,2016-17
Center for the Study of Political Graphics,Visual Arts,$24900.00,To support compensation of administrative and program staff.,2,http://www.politicalgraphics.org,2016-17
Center Stage Opera,Music-Choral/Opera,$14500.00,To support the artistic director.,1,http://www.centerstageopera.org,2016-17
Chalk Repertory Theatre Inc.,Theatre,$7600.00,To support the co-artistic producing directors.,1,,2016-17
Chorale Bel Canto,Music-Choral/Opera,$18900.00,"To support rehearsal venue costs, music and executive directors.",1,http://www.choralebelcanto.org,2016-17
City Hearts: Kids Say 'Yes' to the Arts,Arts Education,$21400.00,To support the director of programs and services.,2,http://www.cityhearts.org,2016-17
CITYstage,Arts Education,$15000.00,"To support the payment of teaching artists to sustain Leadership Academy program at Pathways
Community School.",1,http://www.lacitystage.org,2016-17
"Claremont Chorale, Inc.",Music-Choral/Opera,$9400.00,To support two concerts of major choral works accompanied by symphony orchestras.,1,http://www.claremontchorale.org,2016-17
Coeurage Theatre Company,Theatre,$5600.00,To support development and programming of new theatrical works.,1,,2016-17
Collage Dance Theatre,Dance,$22500.00,"To support the associate artistic director, strategic director and a new director of opportunities
position.",2,http://www.collagedancetheatre.org,2016-17
"CONTRA-TIEMPO, Inc.",Dance,$27200.00,To support the executive director.,2,http://www.contra-tiempo.org,2016-17
Cornerstone Theater Company,Theatre,$46900.00,"To support the 30th Anniversary Season consisting of an Institute Summer Residency in Venice,
CA and two main stage productions.",3,http://www.cornerstonetheater.org,2016-17
Craft and Folk Art Museum Incorporating the Egg and Eye,Visual Arts,$32600.00,To support exhibition programming.,2,http://www.cafam.org,2016-17
"Create Now, Inc.",Arts Education,$7000.00,To support the salary of the executive director.,1,http://www.createnow.org,2016-17
Critical Mass Dance Company,Dance,$5300.00,To sustain a part-time managing director position.,1,http://www.criticalmassdancecompany.org,2016-17
Culver City Chamber Orchestra,Music-Instrumental,$3900.00,To support artist fees associated with two seasons of classical musical concerts.,1,http://www.ccchamberorchestra.com,2016-17
"Culver City Public Theatre, Inc.",Theatre,$3400.00,"To support free outdoor summer theatre, original plays for children followed by a full length, family-friendly play for adults.",1,http://www.ccpt.org,2016-17
Dance Camera West,Media Arts,$12700.00,"To support festival production coordinator and executive artistic director to produce the annual
Dance Camera West Dance Media Film Festival.",1,http://www.dancecamerawest.org,2016-17
"Dancessence, Inc.",Dance,$7500.00,"To support compensation for an administrative managing director and rehearsal/performance pay
for dancers.",1,http://www.dsdancers.com,2016-17
Diavolo Dance Theatre,Dance,$48500.00,To support the development and premiere of two new concert dance works and community based site specific performances.,3,,2016-17
"DMG Music Association, Inc.",Music-Instrumental,$9600.00,"To support two concerts as well as relocation of Beverly Hill International Music Festival to a new
venue.",1,http://www.bhmusicfestival.org,2016-17
"Downey Symphonic Society, Inc",Music-Instrumental,$20100.00,"To support season concerts by composers of diverse cultures and countries, including more
contemporary selections.",1,http://www.downeysymphony.org,2016-17
Dramatic Results,Arts Education,$28000.00,"To provide partial salaries for seven teaching artists, serving 1,110+ students in-class and
professional development for their teachers.",2,,2016-17
"Dream A World Education, Inc.",Arts Education,$19600.00,To support the program director.,1,,2016-17
DSTL Arts,Arts Education,$3500.00,"To support programs for creative, at-risk youth and their parents by providing art and office supplies, marketing and exhibition costs, and fundraising costs.",1,http://DSTLArts.org,2016-17
East West Players Inc.,Theatre,$37800.00,"To support production costs and artist fees for mainstage productions in the 51st and 52nd
Seasons.",3,http://www.eastwestplayers.org,2016-17
Ebony Repertory Theatre,Multidisciplinary,$27100.00,To support hiring part-time marketing and development administrative staff.,2,http://www.ebonyrep.org,2016-17
Echo Park Film Center,Media Arts,$20000.00,"To support Echo Park Film Center filmmobile free screenings and workshops for media marginalized 
populations throughout Los Angeles County.",1,http://www.echoparkfilmcenter.org,2016-17
"Elemental Strings, Inc.",Arts Education,$20100.00,"To support the salaries of the senior program director, a part-time grant writer and a portion of the executive and artistic directors’ compensation.",1,http://www.elementalstrings.com,2016-17
EngAGE,Multidisciplinary,$44600.00,To support multidisciplinary arts programming for low-income seniors.,3,http://www.engagedaging.org,2016-17
Enrichment Works,Arts Education,$10700.00,To support the executive director.,1,http://www.enrichmentworks.org,2016-17
"Ensemble Studio Theatre, The L.A. Project",Theatre,$18500.00,To support compensation of the executive and managing directors.,1,http://www.ensemblestudiotheatrela.org,2016-17
ESCAPE,Arts Education,$21100.00,"To support rehearsal studio rent and the assistant choreographer and part-time administrative
assistant.",2,http://www.escapetheatre.org,2016-17
"ETM-LA, Inc.",Arts Education,$36400.00,To support access to quality music education programs in schools and professional development for teachers.,2,http://www.etmla.org,2016-17
Filipino American Symphony Orchestra,Music-Instrumental,$7000.00,To support a new business administrator position.,1,http://www.fasofoundation.org,2016-17
Film Independent Inc.,Media Arts,$64900.00,"To support Project Involve, a diversity mentorship and training program for filmmakers from underrepresented communities and a full-time volunteer coordinator.",3,http://www.FilmIndependent.org,2016-17
Flights of Fantasy Media Company,Theatre,$14800.00,To support community outreach manager.,1,http://www.flightsoffantasy.org,2016-17
Free Arts for Abused Children,Multidisciplinary,$27900.00,To support a full time development director and development assistant.,2,http://www.freearts.org,2016-17
